count,data
1, 1702589  ms,  14822  mm,  -86  dBm 
2, 1702761  ms,  14822  mm,  -87  dBm 
3, 1702932  ms,  14808  mm,  -86  dBm 
4, 1703102  ms,  14813  mm,  -88  dBm 
5, 1703274  ms,  14818  mm,  -88  dBm 
6, 1703445  ms,  14799  mm,  -86  dBm 
7, 1703615  ms,  14818  mm,  -87  dBm 
8, 1703786  ms,  14832  mm,  -87  dBm 
9, 1703956  ms,  14804  mm,  -87  dBm 
10, 1704127  ms,  14836  mm,  -87  dBm 
11, 1704297  ms,  14860  mm,  -86  dBm 
12, 1704466  ms,  14836  mm,  -88  dBm 
13, 1704635  ms,  14865  mm,  -87  dBm 
14, 1704804  ms,  14832  mm,  -86  dBm 
15, 1704975  ms,  14827  mm,  -87  dBm 
16, 1705145  ms,  14846  mm,  -88  dBm 
17, 1705316  ms,  14851  mm,  -87  dBm 
18, 1705487  ms,  14832  mm,  -87  dBm 
19, 1705657  ms,  14822  mm,  -86  dBm 
20, 1705827  ms,  14813  mm,  -87  dBm 
21, 1705998  ms,  14799  mm,  -87  dBm 
22, 1706169  ms,  14836  mm,  -87  dBm 
23, 1706340  ms,  14836  mm,  -86  dBm 
24, 1706511  ms,  14822  mm,  -87  dBm 
25, 1706681  ms,  14832  mm,  -86  dBm 
26, 1706852  ms,  14851  mm,  -86  dBm 
27, 1707023  ms,  14851  mm,  -87  dBm 
28, 1707193  ms,  14832  mm,  -87  dBm 
29, 1707364  ms,  14841  mm,  -87  dBm 
30, 1707535  ms,  14836  mm,  -86  dBm 
31, 1707706  ms,  14836  mm,  -87  dBm 
32, 1707877  ms,  14860  mm,  -88  dBm 
33, 1708049  ms,  14832  mm,  -87  dBm 
34, 1708220  ms,  14808  mm,  -87  dBm 
35, 1708390  ms,  14841  mm,  -87  dBm 
36, 1708561  ms,  14846  mm,  -87  dBm 
37, 1708732  ms,  14841  mm,  -87  dBm 
38, 1708902  ms,  14818  mm,  -87  dBm 
39, 1709072  ms,  14832  mm,  -87  dBm 
40, 1709242  ms,  14832  mm,  -87  dBm 
41, 1709412  ms,  14846  mm,  -86  dBm 
42, 1709581  ms,  14813  mm,  -86  dBm 
43, 1709749  ms,  14808  mm,  -86  dBm 
44, 1709920  ms,  14818  mm,  -87  dBm 
45, 1710092  ms,  14813  mm,  -87  dBm 
46, 1710262  ms,  14907  mm,  -87  dBm 
47, 1710433  ms,  14827  mm,  -87  dBm 
48, 1710604  ms,  14818  mm,  -87  dBm 
49, 1710775  ms,  14836  mm,  -87  dBm 
50, 1710946  ms,  14827  mm,  -87  dBm 
51, 1711116  ms,  14794  mm,  -87  dBm 
52, 1711288  ms,  14827  mm,  -86  dBm 
53, 1711457  ms,  14832  mm,  -86  dBm 
54, 1711627  ms,  14799  mm,  -87  dBm 
55, 1711798  ms,  14818  mm,  -87  dBm 
56, 1711969  ms,  14836  mm,  -87  dBm 
57, 1712140  ms,  14836  mm,  -87  dBm 
58, 1712310  ms,  14822  mm,  -87  dBm 
59, 1712481  ms,  14818  mm,  -87  dBm 
60, 1712651  ms,  14841  mm,  -87  dBm 
61, 1712821  ms,  14846  mm,  -86  dBm 
62, 1712992  ms,  14832  mm,  -86  dBm 
63, 1713163  ms,  14813  mm,  -87  dBm 
64, 1713334  ms,  14855  mm,  -87  dBm 
65, 1713503  ms,  14799  mm,  -87  dBm 
66, 1713674  ms,  14832  mm,  -87  dBm 
67, 1713844  ms,  14813  mm,  -87  dBm 
68, 1714013  ms,  14874  mm,  -86  dBm 
69, 1714183  ms,  14851  mm,  -88  dBm 
70, 1714354  ms,  14790  mm,  -87  dBm 
71, 1714522  ms,  14851  mm,  -87  dBm 
72, 1714691  ms,  14794  mm,  -86  dBm 
73, 1714861  ms,  14813  mm,  -87  dBm 
74, 1715031  ms,  14822  mm,  -87  dBm 
75, 1715202  ms,  14851  mm,  -87  dBm 
76, 1715373  ms,  14808  mm,  -86  dBm 
77, 1715543  ms,  14799  mm,  -87  dBm 
78, 1715713  ms,  14832  mm,  -87  dBm 
79, 1715884  ms,  14832  mm,  -87  dBm 
80, 1716055  ms,  14846  mm,  -87  dBm 
81, 1716225  ms,  14808  mm,  -87  dBm 
82, 1716396  ms,  14818  mm,  -87  dBm 
83, 1716567  ms,  14836  mm,  -86  dBm 
84, 1716738  ms,  14818  mm,  -86  dBm 
85, 1716908  ms,  14851  mm,  -86  dBm 
86, 1717079  ms,  14874  mm,  -87  dBm 
87, 1717249  ms,  14841  mm,  -87  dBm 
88, 1717419  ms,  14836  mm,  -87  dBm 
89, 1717590  ms,  14827  mm,  -88  dBm 
90, 1717761  ms,  14822  mm,  -87  dBm 
91, 1717931  ms,  0  mm,  -87  dBm 
92, 1718133  ms,  14827  mm,  -87  dBm 
93, 1718303  ms,  14869  mm,  -86  dBm 
94, 1718474  ms,  14827  mm,  -87  dBm 
95, 1718644  ms,  14836  mm,  -88  dBm 
96, 1718815  ms,  14846  mm,  -87  dBm 
97, 1718984  ms,  14808  mm,  -88  dBm 
98, 1719156  ms,  14813  mm,  -87  dBm 
99, 1719326  ms,  14883  mm,  -86  dBm 
100, 1719495  ms,  14860  mm,  -87  dBm 
101, 1719664  ms,  14827  mm,  -87  dBm 
