count,data
1, 1702589  ms,  14822  mm,  -86  dBm 
102, 1719833  ms,  14827  mm,  -86  dBm 
103, 1720005  ms,  14832  mm,  -87  dBm 
104, 1720176  ms,  14799  mm,  -87  dBm 
105, 1720346  ms,  14827  mm,  -87  dBm 
106, 1720658  ms,  14804  mm,  -87  dBm 
107, 1720844  ms,  14818  mm,  -88  dBm 
108, 1721014  ms,  14836  mm,  -87  dBm 
109, 1721185  ms,  14818  mm,  -86  dBm 
110, 1721357  ms,  14841  mm,  -87  dBm 
111, 1721527  ms,  14832  mm,  -86  dBm 
112, 1721697  ms,  14860  mm,  -87  dBm 
113, 1721867  ms,  14851  mm,  -87  dBm 
114, 1722054  ms,  14855  mm,  -87  dBm 
115, 1722224  ms,  14818  mm,  -87  dBm 
116, 1722394  ms,  14813  mm,  -86  dBm 
117, 1722565  ms,  14822  mm,  -87  dBm 
118, 1722735  ms,  14813  mm,  -87  dBm 
