count,data
1, 2178417  ms,  39900  mm,  -95  dBm 
2, 2178588  ms,  39933  mm,  -94  dBm 
3, 2178757  ms,  39943  mm,  -94  dBm 
4, 2178941  ms,  39919  mm,  -94  dBm 
5, 2179126  ms,  39966  mm,  -94  dBm 
6, 2179342  ms,  39929  mm,  -94  dBm 
7, 2179527  ms,  39938  mm,  -94  dBm 
8, 2179711  ms,  39976  mm,  -95  dBm 
9, 2179880  ms,  39938  mm,  -94  dBm 
10, 2180048  ms,  39971  mm,  -94  dBm 
11, 2180217  ms,  39971  mm,  -95  dBm 
12, 2180401  ms,  39924  mm,  -94  dBm 
13, 2180571  ms,  39891  mm,  -95  dBm 
14, 2180756  ms,  39966  mm,  -94  dBm 
15, 2180925  ms,  39929  mm,  -94  dBm 
16, 2181094  ms,  39952  mm,  -94  dBm 
17, 2181277  ms,  39966  mm,  -95  dBm 
18, 2181524  ms,  39957  mm,  -95  dBm 
19, 2181694  ms,  39947  mm,  -95  dBm 
20, 2181878  ms,  39961  mm,  -94  dBm 
21, 2182049  ms,  39961  mm,  -93  dBm 
22, 2182233  ms,  39938  mm,  -93  dBm 
23, 2182419  ms,  39905  mm,  -94  dBm 
24, 2182591  ms,  39971  mm,  -94  dBm 
25, 2182760  ms,  39966  mm,  -94  dBm 
26, 2183070  ms,  39952  mm,  -94  dBm 
27, 2183364  ms,  39957  mm,  -94  dBm 
28, 2183661  ms,  39938  mm,  -95  dBm 
29, 2183972  ms,  39938  mm,  -95  dBm 
30, 2184268  ms,  39957  mm,  -94  dBm 
31, 2184562  ms,  39943  mm,  -94  dBm 
32, 2184827  ms,  39966  mm,  -94  dBm 
33, 2185012  ms,  39929  mm,  -94  dBm 
34, 2185257  ms,  39952  mm,  -95  dBm 
35, 2185536  ms,  39933  mm,  -95  dBm 
36, 0  ms,  0  mm,  0  dBm 
37, 2185957  ms,  39943  mm,  -94  dBm 
38, 2186252  ms,  39976  mm,  -94  dBm 
39, 2186532  ms,  39957  mm,  -94  dBm 
40, 2186734  ms,  39947  mm,  -94  dBm 
41, 2186951  ms,  39961  mm,  -95  dBm 
42, 2187136  ms,  39947  mm,  -94  dBm 
43, 2187308  ms,  39943  mm,  -95  dBm 
44, 2187478  ms,  39947  mm,  -94  dBm 
45, 2187695  ms,  39957  mm,  -94  dBm 
46, 2187882  ms,  39966  mm,  -94  dBm 
47, 2188051  ms,  39990  mm,  -94  dBm 
48, 2188253  ms,  39947  mm,  -93  dBm 
49, 2188485  ms,  39971  mm,  -95  dBm 
50, 2188703  ms,  39919  mm,  -94  dBm 
51, 2188981  ms,  39976  mm,  -95  dBm 
52, 2189214  ms,  39961  mm,  -94  dBm 
53, 2189539  ms,  39929  mm,  -95  dBm 
54, 2189710  ms,  39938  mm,  -94  dBm 
55, 2189881  ms,  39952  mm,  -94  dBm 
56, 2190049  ms,  39961  mm,  -95  dBm 
57, 2190309  ms,  39938  mm,  -95  dBm 
58, 2190573  ms,  39933  mm,  -95  dBm 
59, 2190883  ms,  39957  mm,  -94  dBm 
60, 2191178  ms,  39971  mm,  -94  dBm 
61, 2191489  ms,  39933  mm,  -94  dBm 
62, 2191801  ms,  39915  mm,  -94  dBm 
63, 2192111  ms,  39929  mm,  -94  dBm 
64, 2192422  ms,  39952  mm,  -94  dBm 
65, 2192718  ms,  39952  mm,  -94  dBm 
66, 2193029  ms,  39933  mm,  -95  dBm 
67, 2193338  ms,  39919  mm,  -95  dBm 
68, 2193648  ms,  39957  mm,  -95  dBm 
69, 2193943  ms,  39966  mm,  -94  dBm 
70, 2194254  ms,  39957  mm,  -94  dBm 
71, 2194549  ms,  39957  mm,  -94  dBm 
72, 2194846  ms,  39952  mm,  -94  dBm 
73, 2195153  ms,  39886  mm,  -94  dBm 
74, 2195463  ms,  39966  mm,  -95  dBm 
75, 2195774  ms,  39961  mm,  -95  dBm 
76, 2196068  ms,  39952  mm,  -94  dBm 
77, 2196363  ms,  39933  mm,  -95  dBm 
78, 2196675  ms,  39957  mm,  -95  dBm 
79, 2196985  ms,  39952  mm,  -94  dBm 
80, 2197281  ms,  39952  mm,  -94  dBm 
81, 2197578  ms,  39971  mm,  -94  dBm 
82, 2197874  ms,  39971  mm,  -94  dBm 
83, 2198186  ms,  39976  mm,  -93  dBm 
84, 2198496  ms,  39933  mm,  -95  dBm 
