count,data
1, 3902366  ms,  3273  mm,  -81  dBm 
2, 3902538  ms,  3296  mm,  -81  dBm 
3, 3902707  ms,  3273  mm,  -81  dBm 
4, 3902876  ms,  3263  mm,  -81  dBm 
5, 3903045  ms,  3296  mm,  -81  dBm 
6, 3903215  ms,  3296  mm,  -81  dBm 
7, 3903384  ms,  3306  mm,  -81  dBm 
8, 3903553  ms,  3273  mm,  -81  dBm 
9, 3903723  ms,  3292  mm,  -81  dBm 
10, 3903893  ms,  3277  mm,  -81  dBm 
11, 3904061  ms,  3226  mm,  -81  dBm 
12, 3904232  ms,  3301  mm,  -81  dBm 
13, 3904402  ms,  3310  mm,  -81  dBm 
