count,data
1, 1987031  ms,  29919  mm,  -92  dBm 
2, 1987201  ms,  29910  mm,  -91  dBm 
3, 1987370  ms,  29896  mm,  -90  dBm 
4, 1987539  ms,  29924  mm,  -92  dBm 
5, 1987709  ms,  29919  mm,  -91  dBm 
6, 1987878  ms,  29948  mm,  -91  dBm 
7, 1988048  ms,  29915  mm,  -91  dBm 
8, 1988218  ms,  29910  mm,  -92  dBm 
9, 1988389  ms,  29957  mm,  -91  dBm 
10, 1988560  ms,  29896  mm,  -91  dBm 
11, 1988731  ms,  29924  mm,  -92  dBm 
12, 1988902  ms,  29882  mm,  -91  dBm 
13, 1989073  ms,  29938  mm,  -91  dBm 
14, 1989243  ms,  29919  mm,  -90  dBm 
15, 1989414  ms,  29929  mm,  -91  dBm 
16, 1989584  ms,  29915  mm,  -91  dBm 
17, 1989754  ms,  29896  mm,  -92  dBm 
18, 1989924  ms,  29896  mm,  -91  dBm 
19, 1990092  ms,  29896  mm,  -91  dBm 
20, 1990263  ms,  29910  mm,  -91  dBm 
21, 1990434  ms,  29943  mm,  -91  dBm 
22, 1990605  ms,  29929  mm,  -91  dBm 
23, 1990775  ms,  29929  mm,  -92  dBm 
24, 1990946  ms,  29924  mm,  -91  dBm 
25, 1991132  ms,  29919  mm,  -91  dBm 
26, 1991302  ms,  29924  mm,  -92  dBm 
27, 1991473  ms,  29910  mm,  -91  dBm 
28, 1991644  ms,  29929  mm,  -91  dBm 
29, 1991814  ms,  29933  mm,  -91  dBm 
30, 1991984  ms,  29929  mm,  -93  dBm 
31, 1992170  ms,  29933  mm,  -92  dBm 
32, 1992341  ms,  29933  mm,  -91  dBm 
33, 1992511  ms,  29933  mm,  -91  dBm 
34, 1992682  ms,  29896  mm,  -93  dBm 
35, 1992852  ms,  29971  mm,  -91  dBm 
36, 1993022  ms,  29929  mm,  -90  dBm 
37, 1993193  ms,  29924  mm,  -91  dBm 
38, 1993363  ms,  29919  mm,  -91  dBm 
39, 1993534  ms,  29933  mm,  -91  dBm 
40, 1993706  ms,  29938  mm,  -91  dBm 
41, 1993876  ms,  29905  mm,  -92  dBm 
42, 1994047  ms,  29915  mm,  -93  dBm 
43, 1994217  ms,  29910  mm,  -92  dBm 
44, 1994387  ms,  29933  mm,  -93  dBm 
45, 1994558  ms,  29938  mm,  -93  dBm 
46, 1994728  ms,  29905  mm,  -93  dBm 
47, 1994897  ms,  29929  mm,  -91  dBm 
48, 1995066  ms,  29919  mm,  -92  dBm 
49, 1995235  ms,  29910  mm,  -92  dBm 
50, 1995405  ms,  29901  mm,  -91  dBm 
51, 1995576  ms,  29901  mm,  -93  dBm 
52, 1995748  ms,  29910  mm,  -91  dBm 
53, 1995919  ms,  29938  mm,  -91  dBm 
54, 1996090  ms,  29924  mm,  -91  dBm 
55, 1996261  ms,  29929  mm,  -92  dBm 
56, 1996431  ms,  29919  mm,  -91  dBm 
57, 1996603  ms,  29919  mm,  -91  dBm 
58, 1996773  ms,  29933  mm,  -91  dBm 
59, 1996945  ms,  29938  mm,  -92  dBm 
60, 1997115  ms,  29896  mm,  -91  dBm 
61, 1997286  ms,  29905  mm,  -91  dBm 
62, 1997456  ms,  29929  mm,  -93  dBm 
63, 1997627  ms,  29901  mm,  -92  dBm 
64, 1997798  ms,  29919  mm,  -91  dBm 
65, 1997968  ms,  29943  mm,  -91  dBm 
66, 1998138  ms,  29901  mm,  -92  dBm 
67, 1998309  ms,  29901  mm,  -91  dBm 
68, 1998479  ms,  29901  mm,  -93  dBm 
69, 1998650  ms,  29896  mm,  -91  dBm 
70, 1998820  ms,  29924  mm,  -93  dBm 
71, 1998990  ms,  29938  mm,  -91  dBm 
72, 1999161  ms,  29924  mm,  -93  dBm 
73, 1999332  ms,  29952  mm,  -91  dBm 
74, 1999503  ms,  29924  mm,  -91  dBm 
75, 1999673  ms,  29905  mm,  -93  dBm 
76, 1999843  ms,  29966  mm,  -91  dBm 
77, 2000012  ms,  29924  mm,  -91  dBm 
78, 2000182  ms,  29948  mm,  -92  dBm 
79, 2000352  ms,  29924  mm,  -91  dBm 
80, 2000522  ms,  29901  mm,  -91  dBm 
81, 2000693  ms,  29887  mm,  -91  dBm 
82, 2000863  ms,  29901  mm,  -92  dBm 
83, 2001033  ms,  29905  mm,  -91  dBm 
84, 2001203  ms,  29887  mm,  -92  dBm 
85, 2001374  ms,  29887  mm,  -93  dBm 
86, 2001545  ms,  29933  mm,  -93  dBm 
87, 2001731  ms,  29915  mm,  -92  dBm 
88, 2001902  ms,  29910  mm,  -91  dBm 
89, 2002073  ms,  29910  mm,  -92  dBm 
90, 2002243  ms,  29957  mm,  -93  dBm 
91, 2002413  ms,  29924  mm,  -91  dBm 
92, 2002583  ms,  29915  mm,  -91  dBm 
93, 2002753  ms,  29929  mm,  -91  dBm 
94, 2002924  ms,  29952  mm,  -91  dBm 
95, 2003094  ms,  29924  mm,  -91  dBm 
96, 2003265  ms,  29948  mm,  -91  dBm 
97, 2003436  ms,  29919  mm,  -92  dBm 
98, 2003606  ms,  29901  mm,  -93  dBm 
99, 2003777  ms,  29952  mm,  -93  dBm 
100, 2003948  ms,  29901  mm,  -93  dBm 
101, 2004134  ms,  29887  mm,  -93  dBm 
102, 2004303  ms,  29905  mm,  -91  dBm 
103, 2004475  ms,  29933  mm,  -92  dBm 
104, 2004646  ms,  29938  mm,  -91  dBm 
105, 2004814  ms,  29933  mm,  -93  dBm 
106, 2004983  ms,  29929  mm,  -91  dBm 
107, 2005152  ms,  29938  mm,  -90  dBm 
108, 2005322  ms,  29905  mm,  -91  dBm 
109, 2005509  ms,  29938  mm,  -91  dBm 
110, 2005680  ms,  29910  mm,  -93  dBm 
111, 2005851  ms,  29938  mm,  -92  dBm 
112, 2006022  ms,  29910  mm,  -91  dBm 
113, 2006193  ms,  29919  mm,  -92  dBm 
114, 2006363  ms,  29919  mm,  -91  dBm 
115, 2006533  ms,  29919  mm,  -91  dBm 
116, 2006704  ms,  29901  mm,  -91  dBm 
117, 2006876  ms,  29924  mm,  -91  dBm 
118, 2007046  ms,  29919  mm,  -91  dBm 
