count,data
140, 0  ms,  0  mm,  0  dBm 
141, 0  ms,  0  mm,  0  dBm 
142, 0  ms,  0  mm,  0  dBm 
143, 0  ms,  0  mm,  0  dBm 
144, 0  ms,  0  mm,  0  dBm 
145, 0  ms,  0  mm,  0  dBm 
146, 0  ms,  0  mm,  0  dBm 
147, 0  ms,  0  mm,  0  dBm 
148, 0  ms,  0  mm,  0  dBm 
149, 0  ms,  0  mm,  0  dBm 
150, 0  ms,  0  mm,  0  dBm 
151, 145681  ms,  848  mm,  -79  dBm 
152, 0  ms,  0  mm,  0  dBm 
153, 0  ms,  0  mm,  0  dBm 
154, 145959  ms,  806  mm,  -79  dBm 
155, 0  ms,  0  mm,  0  dBm 
156, 146269  ms,  792  mm,  -79  dBm 
157, 146564  ms,  834  mm,  -79  dBm 
158, 0  ms,  0  mm,  0  dBm 
159, 0  ms,  0  mm,  0  dBm 
160, 0  ms,  0  mm,  0  dBm 
161, 0  ms,  0  mm,  0  dBm 
162, 147292  ms,  880  mm,  -79  dBm 
163, 147554  ms,  811  mm,  -79  dBm 
164, 147771  ms,  857  mm,  -79  dBm 
165, 0  ms,  0  mm,  0  dBm 
166, 148066  ms,  853  mm,  -79  dBm 
167, 0  ms,  0  mm,  0  dBm 
168, 0  ms,  0  mm,  0  dBm 
169, 0  ms,  0  mm,  0  dBm 
170, 148419  ms,  839  mm,  -79  dBm 
171, 0  ms,  0  mm,  0  dBm 
172, 148650  ms,  829  mm,  -79  dBm 
173, 0  ms,  0  mm,  0  dBm 
174, 0  ms,  0  mm,  0  dBm 
175, 0  ms,  0  mm,  0  dBm 
176, 148976  ms,  848  mm,  -79  dBm 
177, 149194  ms,  955  mm,  -79  dBm 
178, 149457  ms,  1137  mm,  -79  dBm 
179, 0  ms,  0  mm,  0  dBm 
180, 0  ms,  0  mm,  0  dBm 
181, 149720  ms,  1311  mm,  -80  dBm 
182, 150014  ms,  1502  mm,  -78  dBm 
183, 0  ms,  0  mm,  0  dBm 
184, 150308  ms,  1685  mm,  -79  dBm 
185, 150603  ms,  1957  mm,  -79  dBm 
186, 150913  ms,  2233  mm,  -80  dBm 
187, 151192  ms,  2388  mm,  -79  dBm 
188, 151394  ms,  2491  mm,  -80  dBm 
189, 151800  ms,  2505  mm,  -79  dBm 
190, 152049  ms,  2392  mm,  -79  dBm 
191, 152344  ms,  2397  mm,  -79  dBm 
192, 152638  ms,  2252  mm,  -79  dBm 
193, 152886  ms,  2266  mm,  -79  dBm 
194, 153196  ms,  2322  mm,  -78  dBm 
195, 153457  ms,  2261  mm,  -80  dBm 
196, 153704  ms,  2303  mm,  -79  dBm 
197, 153965  ms,  2298  mm,  -79  dBm 
198, 154228  ms,  2420  mm,  -81  dBm 
199, 154487  ms,  2420  mm,  -81  dBm 
200, 154886  ms,  2341  mm,  -79  dBm 
201, 155272  ms,  2359  mm,  -78  dBm 
202, 155628  ms,  2261  mm,  -79  dBm 
203, 155828  ms,  2308  mm,  -80  dBm 
204, 156076  ms,  2345  mm,  -78  dBm 
205, 156279  ms,  2350  mm,  -79  dBm 
206, 156542  ms,  2345  mm,  -79  dBm 
207, 156743  ms,  2266  mm,  -80  dBm 
208, 156946  ms,  2341  mm,  -79  dBm 
209, 157147  ms,  2336  mm,  -79  dBm 
210, 157350  ms,  2266  mm,  -80  dBm 
211, 157551  ms,  2280  mm,  -79  dBm 
212, 157752  ms,  2280  mm,  -80  dBm 
213, 157981  ms,  2308  mm,  -79  dBm 
214, 158181  ms,  2336  mm,  -79  dBm 
215, 158380  ms,  2275  mm,  -80  dBm 
216, 158643  ms,  2327  mm,  -79  dBm 
217, 158843  ms,  2345  mm,  -79  dBm 
218, 159061  ms,  2275  mm,  -79  dBm 
219, 159263  ms,  2275  mm,  -79  dBm 
220, 159464  ms,  2261  mm,  -79  dBm 
221, 0  ms,  0  mm,  0  dBm 
222, 0  ms,  0  mm,  0  dBm 
223, 0  ms,  0  mm,  0  dBm 
224, 159759  ms,  2317  mm,  -79  dBm 
225, 159992  ms,  2364  mm,  -79  dBm 
226, 160193  ms,  2294  mm,  -80  dBm 
227, 160458  ms,  2350  mm,  -79  dBm 
228, 0  ms,  0  mm,  0  dBm 
229, 0  ms,  0  mm,  0  dBm 
230, 0  ms,  0  mm,  0  dBm 
231, 0  ms,  0  mm,  0  dBm 
232, 0  ms,  0  mm,  0  dBm 
233, 0  ms,  0  mm,  0  dBm 
234, 0  ms,  0  mm,  0  dBm 
235, 0  ms,  0  mm,  0  dBm 
236, 0  ms,  0  mm,  0  dBm 
237, 0  ms,  0  mm,  0  dBm 
238, 0  ms,  0  mm,  0  dBm 
239, 0  ms,  0  mm,  0  dBm 
240, 0  ms,  0  mm,  0  dBm 
241, 0  ms,  0  mm,  0  dBm 
242, 0  ms,  0  mm,  0  dBm 
243, 0  ms,  0  mm,  0  dBm 
244, 0  ms,  0  mm,  0  dBm 
245, 0  ms,  0  mm,  0  dBm 
246, 0  ms,  0  mm,  0  dBm 
247, 0  ms,  0  mm,  0  dBm 
248, 0  ms,  0  mm,  0  dBm 
249, 0  ms,  0  mm,  0  dBm 
250, 0  ms,  0  mm,  0  dBm 
251, 0  ms,  0  mm,  0  dBm 
252, 0  ms,  0  mm,  0  dBm 
253, 0  ms,  0  mm,  0  dBm 
254, 0  ms,  0  mm,  0  dBm 
