count,data
1, 874646  ms,  4724  mm,  -80  dBm 
2, 874865  ms,  4724  mm,  -80  dBm 
3, 875068  ms,  4747  mm,  -80  dBm 
4, 875269  ms,  4686  mm,  -80  dBm 
5, 875472  ms,  4710  mm,  -81  dBm 
6, 875673  ms,  4710  mm,  -80  dBm 
7, 875875  ms,  4742  mm,  -79  dBm 
8, 876077  ms,  4686  mm,  -80  dBm 
9, 876278  ms,  4672  mm,  -80  dBm 
10, 876479  ms,  4728  mm,  -81  dBm 
11, 876682  ms,  4691  mm,  -80  dBm 
12, 876916  ms,  4738  mm,  -80  dBm 
13, 877118  ms,  4738  mm,  -80  dBm 
14, 877319  ms,  4742  mm,  -80  dBm 
15, 877521  ms,  4677  mm,  -80  dBm 
16, 877723  ms,  4714  mm,  -80  dBm 
17, 877924  ms,  4742  mm,  -80  dBm 
18, 878126  ms,  4724  mm,  -80  dBm 
19, 878328  ms,  4719  mm,  -80  dBm 
20, 878530  ms,  4714  mm,  -80  dBm 
21, 878730  ms,  4761  mm,  -80  dBm 
22, 878960  ms,  4710  mm,  -80  dBm 
23, 879161  ms,  4719  mm,  -81  dBm 
24, 879361  ms,  4705  mm,  -80  dBm 
25, 879563  ms,  4752  mm,  -80  dBm 
26, 879765  ms,  4710  mm,  -80  dBm 
27, 879968  ms,  4700  mm,  -80  dBm 
28, 880169  ms,  4724  mm,  -80  dBm 
29, 880371  ms,  4733  mm,  -80  dBm 
30, 880572  ms,  4696  mm,  -80  dBm 
31, 880773  ms,  4696  mm,  -80  dBm 
32, 880975  ms,  4677  mm,  -80  dBm 
33, 881176  ms,  4710  mm,  -80  dBm 
34, 881379  ms,  4747  mm,  -80  dBm 
35, 881580  ms,  4696  mm,  -80  dBm 
36, 881782  ms,  4747  mm,  -80  dBm 
37, 881984  ms,  4747  mm,  -80  dBm 
38, 882185  ms,  4728  mm,  -81  dBm 
39, 882386  ms,  4724  mm,  -80  dBm 
40, 882588  ms,  4728  mm,  -80  dBm 
41, 882789  ms,  4686  mm,  -80  dBm 
42, 883022  ms,  4738  mm,  -80  dBm 
43, 883224  ms,  4705  mm,  -80  dBm 
44, 883425  ms,  4714  mm,  -80  dBm 
45, 883627  ms,  4752  mm,  -80  dBm 
46, 883827  ms,  4738  mm,  -80  dBm 
47, 884027  ms,  4700  mm,  -80  dBm 
48, 884228  ms,  4710  mm,  -79  dBm 
49, 884430  ms,  4733  mm,  -80  dBm 
50, 884647  ms,  4724  mm,  -80  dBm 
51, 884880  ms,  4719  mm,  -80  dBm 
52, 885082  ms,  4719  mm,  -80  dBm 
53, 885284  ms,  4738  mm,  -80  dBm 
54, 885486  ms,  4771  mm,  -80  dBm 
55, 885688  ms,  4696  mm,  -80  dBm 
56, 885890  ms,  4738  mm,  -80  dBm 
57, 886093  ms,  4733  mm,  -80  dBm 
58, 0  ms,  0  mm,  0  dBm 
59, 886093  ms,  4733  mm,  -80  dBm 
60, 886496  ms,  4686  mm,  -80  dBm 
61, 886697  ms,  4742  mm,  -79  dBm 
62, 886899  ms,  4738  mm,  -80  dBm 
63, 887163  ms,  4738  mm,  -80  dBm 
64, 887365  ms,  4710  mm,  -80  dBm 
65, 887568  ms,  4705  mm,  -80  dBm 
66, 887770  ms,  4738  mm,  -81  dBm 
67, 887972  ms,  4752  mm,  -80  dBm 
68, 888173  ms,  4691  mm,  -80  dBm 
69, 888375  ms,  4752  mm,  -80  dBm 
70, 888577  ms,  4705  mm,  -80  dBm 
71, 888778  ms,  4752  mm,  -80  dBm 
72, 888977  ms,  4742  mm,  -80  dBm 
73, 889178  ms,  4728  mm,  -80  dBm 
74, 889380  ms,  4700  mm,  -80  dBm 
75, 0  ms,  0  mm,  0  dBm 
76, 0  ms,  0  mm,  0  dBm 
77, 0  ms,  0  mm,  0  dBm 
78, 889969  ms,  4686  mm,  -80  dBm 
79, 890171  ms,  4738  mm,  -80  dBm 
80, 0  ms,  0  mm,  0  dBm 
81, 890404  ms,  4710  mm,  -80  dBm 
82, 0  ms,  0  mm,  0  dBm 
83, 890746  ms,  4714  mm,  -80  dBm 
84, 890946  ms,  4696  mm,  -80  dBm 
85, 891148  ms,  4728  mm,  -80  dBm 
86, 891349  ms,  4738  mm,  -80  dBm 
87, 891582  ms,  4719  mm,  -80  dBm 
88, 891784  ms,  4742  mm,  -80  dBm 
89, 891984  ms,  4724  mm,  -80  dBm 
90, 892187  ms,  4705  mm,  -80  dBm 
91, 892388  ms,  4728  mm,  -80  dBm 
92, 892591  ms,  4714  mm,  -80  dBm 
93, 892792  ms,  4705  mm,  -80  dBm 
94, 892994  ms,  4747  mm,  -80  dBm 
95, 893196  ms,  4742  mm,  -80  dBm 
96, 0  ms,  0  mm,  0  dBm 
97, 893677  ms,  4747  mm,  -80  dBm 
98, 0  ms,  0  mm,  0  dBm 
99, 0  ms,  0  mm,  0  dBm 
100, 0  ms,  0  mm,  0  dBm 
101, 894325  ms,  4714  mm,  -80  dBm 
102, 894527  ms,  4719  mm,  -80  dBm 
103, 894527  ms,  4719  mm,  -80  dBm 
