count,x,y,z
1,4765,390,1294
2,3388,-235,959
3,3387,-289,1151
4,3382,-234,1124
5,3403,-268,1126
6,3385,-276,1111
7,3386,-249,1172
8,3368,253,-124
9,3427,-200,1224
10,3386,-290,1154
11,3406,-270,1132
12,3404,-185,1149
13,3424,-223,1168
14,3385,-276,1115
15,3406,-270,1132
16,3381,-234,1120
17,3346,-259,1121
18,4643,4726,1312
19,4671,4711,1329
20,4680,4735,1287
21,4710,4718,1326
22,4684,4728,1326
23,4684,4728,1326
24,4701,4739,1339
25,4660,4736,1326
26,4683,4725,1337
27,4687,4724,1342
28,4643,4726,1312
29,4694,4700,1338
30,4665,4711,1334
31,4684,4728,1326
32,4691,4704,1322
33,4651,4696,1335
34,4717,4695,1320
35,4660,4736,1326
36,4687,4672,1324
37,4655,4707,1329
38,4730,4665,1268
39,4680,4698,1329
40,4638,4681,1255
41,4671,4717,1344
42,4703,4691,1312
43,4653,4710,1312
44,4676,4699,1321
45,4661,4688,1298
46,4636,4699,1298
47,4687,4672,1324
48,4663,4684,1315
49,4676,4699,1321
50,4703,4625,1303
51,4660,4686,1309
52,4659,4686,1317
53,4617,4705,1300
54,4652,4659,1239
55,4635,4719,1304
56,4617,4705,1300
57,4642,4696,1300
58,4625,4683,1287
59,4600,4692,1286
60,4662,4696,1261
61,4617,4709,1289
62,4612,4717,1251
63,4617,4705,1300
64,4674,4662,1295
65,4637,4704,1261
66,4670,4682,1317
67,4693,4677,1301
68,4596,4701,1246
69,4675,4666,1287
70,4691,4704,1322
71,4678,4746,1357
72,4677,4688,1325
73,4660,4736,1326
74,4684,4728,1326
75,4694,4700,1338
76,4670,4701,1269
77,4650,4701,1309
78,4667,4715,1321
79,4650,4701,1309
80,4653,4695,1326
81,4694,4700,1338
82,4725,4679,1376
83,4675,4692,1308
84,4677,4688,1325
85,4713,4715,1343
86,4691,4716,1381
87,4677,4688,1325
88,4683,4667,1303
89,4677,4688,1325
90,4643,4726,1312
91,4677,4754,1330
92,4684,4728,1326
93,4650,4701,1309
94,4691,4704,1322
95,4713,4715,1343
96,4696,4702,1330
97,4654,4702,1315
98,4694,4706,1313
99,4635,4745,1342
100,4661,4676,1310
101,4669,4710,1337
102,4653,4695,1326
103,4669,4710,1337
104,4687,4724,1342
105,4687,4680,1367
106,4657,4704,1319
107,4619,4690,1351
108,4598,4686,1300
109,4700,4705,1334
110,4662,4684,1298
111,4663,4695,1357
112,4638,4692,1296
113,4638,4697,1286
114,4588,4716,1285
115,4638,4692,1296
116,4655,4643,1294
117,4662,4684,1298
118,4681,4691,1329
119,4631,4711,1329
120,4638,4692,1296
121,4613,4702,1295
122,4691,4685,1307
123,4677,4729,1343
124,4629,4737,1273
125,4708,4697,1321
126,4691,4685,1307
127,4666,4694,1308
128,4710,4692,1338
129,4691,4685,1307
130,4716,4735,1339
131,4675,4673,1293
132,4702,4707,1284
133,4650,4741,1326
134,4678,4720,1274
135,4740,4664,1313
136,4703,4717,1343
137,4694,4675,1255
138,4661,4715,1329
139,4724,4663,1363
140,4685,4677,1308
141,4687,4672,1324
142,4688,4664,1253
143,4685,4677,1308
144,4626,4664,1277
145,4662,4681,1325
146,4712,4651,1263
147,4668,4665,1292
148,4602,4668,1289
149,4679,4640,1297
150,4667,4662,1304
151,4638,4681,1255
152,4658,4629,1271
153,4629,4646,1233
154,4661,4677,1338
155,4638,4681,1255
156,4685,4668,1335
157,4708,4684,1334
158,4701,4709,1338
159,4701,4709,1338
160,4738,4712,1342
161,4663,4686,1303
162,4682,4701,1308
163,4681,4759,1338
164,4766,4706,1333
165,4691,4673,1319
166,4682,4701,1308
167,4626,4728,1270
168,4688,4733,1336
169,4724,4718,1381
170,4664,4744,1337
171,4706,4690,1315
172,4724,4704,1322
173,4701,4709,1338
174,4660,4664,1248
175,4620,4721,1271
176,4660,4736,1326
177,4620,4721,1271
178,4645,4710,1269
179,4634,4689,1294
180,4686,4712,1283
181,4650,4697,1319
182,4650,4697,1319
183,4625,4712,1308
184,4653,4685,1265
185,4683,4725,1337
186,4613,4744,1274
187,4662,4732,1344
188,4660,4736,1326
189,4644,4723,1329
190,4653,4695,1326
191,4633,4686,1304
192,4657,4690,1258
193,4657,4689,1268
194,4637,4687,1310
195,4657,4689,1268
196,4564,4724,1285
197,4621,4681,1280
198,4638,4692,1296
199,4640,4689,1313
200,4645,4667,1291
201,4646,4672,1281
202,4646,4725,1327
203,4605,4726,1301
204,4648,4728,1316
205,4638,4692,1296
206,4631,4652,1295
207,4633,4701,1257
208,4649,4713,1273
209,4700,4728,1351
210,4641,4716,1308
211,4660,4712,1281
212,4643,4706,1337
213,4648,4749,1337
214,4658,4727,1321
215,4648,4749,1337
216,4632,4737,1321
217,4682,4711,1351
218,4677,4728,1282
219,4596,4780,1288
220,4632,4737,1321
221,4650,4745,1353
222,4665,4766,1338
223,4699,4730,1334
224,4674,4678,1328
225,4689,4691,1328
226,4663,4764,1348
227,4687,4675,1333
228,4719,4707,1331
229,4687,4683,1305
230,4663,4677,1260
231,4632,4711,1266
232,4729,4686,1317
233,4682,4692,1265
234,4668,4667,1298
235,4711,4669,1314
236,4711,4669,1314
237,4656,4701,1265
238,4733,4730,1297
239,4712,4674,1305
240,4705,4633,1301
241,4689,4668,1260
242,4688,4663,1273
243,4661,4691,1304
244,4711,4669,1314
245,4658,4654,1287
246,4702,4652,1318
247,4687,4688,1268
248,4687,4688,1268
249,4686,4703,1312
250,4718,4730,1337
251,4712,4674,1279
252,4626,4687,1291
253,4687,4688,1268
254,4643,4704,1297
255,4687,4688,1268
256,4660,4713,1312
257,4712,4702,1302
258,4636,4728,1301
259,4628,4684,1309
260,4713,4679,1268
261,4646,4699,1315
262,4643,4716,1357
263,4701,4659,1294
264,4680,4720,1264
265,4720,4734,1329
266,4660,4713,1312
267,4670,4693,1298
268,4654,4679,1300
269,4664,4702,1258
270,4668,4751,1330
271,4681,4713,1273
272,4599,4692,1197
273,4664,4702,1258
274,4687,4688,1268
275,4638,4713,1258
276,4689,4694,1259
277,4635,4721,1311
278,4621,4696,1253
279,4654,4724,1273
280,4706,4690,1315
281,4689,4676,1303
282,4680,4699,1317
283,4668,4732,1283
284,4725,4688,1278
285,4706,4690,1315
286,4716,4663,1320
287,4698,4714,1321
288,4698,4714,1321
289,4656,4711,1307
290,4677,4710,1269
291,4648,4732,1322
292,4688,4731,1246
293,4673,4721,1321
294,4673,4721,1321
295,4682,4680,1275
296,4668,4732,1283
297,4666,4746,1326
298,4698,4714,1321
299,4651,4718,1270
300,4688,4733,1336
301,4663,4686,1303
302,4696,4651,1297
303,4651,4718,1270
304,4635,4708,1252
305,4673,4721,1321
306,4675,4706,1281
307,4668,4732,1283
308,4673,4721,1321
309,4677,4710,1269
310,4688,4733,1336
311,4680,4699,1317
312,4668,4732,1283
313,4698,4714,1321
314,4665,4671,1259
315,4668,4732,1283
316,4725,4688,1278
317,4651,4718,1270
318,4696,4710,1232
319,4648,4732,1322
320,4651,4718,1270
321,4695,4705,1241
322,4673,4721,1321
323,4665,4691,1295
324,4688,4733,1336
325,4689,4676,1303
326,4684,4743,1297
327,4675,4706,1281
328,4629,4714,1226
329,4632,4721,1306
330,4680,4699,1317
331,4673,4721,1321
332,4684,4701,1321
333,4664,4702,1258
334,4641,4694,1216
335,4681,4713,1273
336,4679,4708,1285
337,4666,4686,1215
338,4682,4697,1228
339,4702,4716,1325
340,4681,4713,1273
341,4660,4713,1312
342,4676,4668,1292
343,4653,4738,1315
344,4704,4702,1282
345,4670,4672,1265
346,4642,4699,1307
