count,data
1, 2073879  ms,  34858  mm,  -100  dBm 
2, 2074049  ms,  34863  mm,  -99  dBm 
3, 2074218  ms,  34886  mm,  -100  dBm 
4, 2074388  ms,  34929  mm,  -100  dBm 
5, 2074558  ms,  34891  mm,  -102  dBm 
6, 2074726  ms,  34868  mm,  -100  dBm 
7, 2074895  ms,  34821  mm,  -100  dBm 
8, 2075064  ms,  34849  mm,  -101  dBm 
9, 2075064  ms,  34849  mm,  -101  dBm 
10, 2075405  ms,  34896  mm,  -101  dBm 
11, 2075575  ms,  34891  mm,  -101  dBm 
12, 2075746  ms,  34891  mm,  -100  dBm 
13, 2075918  ms,  34938  mm,  -101  dBm 
14, 2076088  ms,  34901  mm,  -101  dBm 
15, 2076274  ms,  34957  mm,  -101  dBm 
16, 2076445  ms,  34957  mm,  -100  dBm 
17, 2076616  ms,  34919  mm,  -100  dBm 
18, 2076787  ms,  34901  mm,  -101  dBm 
19, 2076958  ms,  34905  mm,  -100  dBm 
20, 2077128  ms,  34868  mm,  -100  dBm 
21, 2077297  ms,  34886  mm,  -99  dBm 
22, 2077468  ms,  34919  mm,  -101  dBm 
23, 2077639  ms,  34896  mm,  -101  dBm 
24, 2077810  ms,  34919  mm,  -101  dBm 
25, 2077980  ms,  34891  mm,  -100  dBm 
26, 2078149  ms,  34943  mm,  -101  dBm 
27, 2078320  ms,  34849  mm,  -100  dBm 
28, 2078490  ms,  34811  mm,  -100  dBm 
29, 2078659  ms,  34886  mm,  -101  dBm 
30, 2078830  ms,  34886  mm,  -102  dBm 
31, 2078999  ms,  34811  mm,  -100  dBm 
32, 2079170  ms,  34882  mm,  -101  dBm 
33, 2079341  ms,  34910  mm,  -100  dBm 
34, 2079512  ms,  34877  mm,  -101  dBm 
35, 2079512  ms,  34877  mm,  -101  dBm 
36, 2079851  ms,  34905  mm,  -101  dBm 
37, 2080020  ms,  34896  mm,  -101  dBm 
38, 2080189  ms,  34858  mm,  -101  dBm 
39, 2080359  ms,  34919  mm,  -101  dBm 
40, 2080530  ms,  34877  mm,  -101  dBm 
41, 2080700  ms,  34938  mm,  -102  dBm 
42, 2080870  ms,  34896  mm,  -101  dBm 
43, 2081041  ms,  34863  mm,  -102  dBm 
44, 2081041  ms,  34863  mm,  -102  dBm 
45, 2081383  ms,  34943  mm,  -101  dBm 
46, 2081554  ms,  34872  mm,  -102  dBm 
47, 2081724  ms,  34835  mm,  -101  dBm 
48, 2081896  ms,  34891  mm,  -101  dBm 
49, 2082066  ms,  34821  mm,  -101  dBm 
50, 2082237  ms,  34910  mm,  -101  dBm 
51, 2082408  ms,  34905  mm,  -101  dBm 
52, 2082579  ms,  34952  mm,  -101  dBm 
53, 2082750  ms,  34896  mm,  -102  dBm 
54, 2082920  ms,  34896  mm,  -101  dBm 
55, 2083091  ms,  34886  mm,  -101  dBm 
56, 2083091  ms,  34886  mm,  -101  dBm 
57, 2083432  ms,  34915  mm,  -102  dBm 
58, 2083603  ms,  34849  mm,  -101  dBm 
59, 2083773  ms,  34830  mm,  -100  dBm 
60, 2083773  ms,  34830  mm,  -100  dBm 
61, 2084114  ms,  34938  mm,  -101  dBm 
62, 2084285  ms,  34915  mm,  -101  dBm 
63, 2084455  ms,  34886  mm,  -101  dBm 
64, 2084626  ms,  34943  mm,  -101  dBm 
65, 2084796  ms,  34924  mm,  -100  dBm 
66, 2084965  ms,  34863  mm,  -102  dBm 
67, 2085133  ms,  34886  mm,  -102  dBm 
68, 2085303  ms,  34952  mm,  -101  dBm 
69, 2085474  ms,  34901  mm,  -100  dBm 
70, 2085644  ms,  34929  mm,  -102  dBm 
71, 2085644  ms,  34929  mm,  -102  dBm 
72, 2085985  ms,  34919  mm,  -100  dBm 
73, 2086155  ms,  34877  mm,  -102  dBm 
74, 2086326  ms,  34915  mm,  -101  dBm 
75, 2086497  ms,  34896  mm,  -101  dBm 
76, 2086667  ms,  34905  mm,  -101  dBm 
77, 2086837  ms,  34840  mm,  -101  dBm 
78, 2087008  ms,  34872  mm,  -100  dBm 
79, 2087178  ms,  34882  mm,  -100  dBm 
80, 2087348  ms,  34938  mm,  -101  dBm 
81, 2087519  ms,  34952  mm,  -101  dBm 
82, 2087519  ms,  34952  mm,  -101  dBm 
83, 2087860  ms,  34868  mm,  -102  dBm 
84, 2088031  ms,  34868  mm,  -102  dBm 
85, 2088201  ms,  34877  mm,  -101  dBm 
86, 2088373  ms,  34910  mm,  -100  dBm 
87, 2088544  ms,  34863  mm,  -101  dBm 
88, 2088714  ms,  34910  mm,  -101  dBm 
89, 2088885  ms,  34886  mm,  -100  dBm 
90, 2089055  ms,  34882  mm,  -101  dBm 
91, 2089226  ms,  34891  mm,  -100  dBm 
92, 2089396  ms,  34905  mm,  -100  dBm 
93, 2089567  ms,  34882  mm,  -101  dBm 
94, 2089737  ms,  34863  mm,  -101  dBm 
95, 2089906  ms,  34835  mm,  -100  dBm 
96, 2090075  ms,  34886  mm,  -100  dBm 
97, 2090244  ms,  34896  mm,  -100  dBm 
98, 2090414  ms,  34858  mm,  -100  dBm 
99, 2090585  ms,  34882  mm,  -101  dBm 
100, 2090755  ms,  34868  mm,  -101  dBm 
101, 2090927  ms,  34915  mm,  -101  dBm 
102, 2091098  ms,  34896  mm,  -101  dBm 
103, 2091268  ms,  34896  mm,  -101  dBm 
104, 2091439  ms,  34882  mm,  -101  dBm 
105, 2091439  ms,  34882  mm,  -101  dBm 
106, 2091780  ms,  34863  mm,  -100  dBm 
107, 2091780  ms,  34863  mm,  -100  dBm 
108, 2091780  ms,  34863  mm,  -100  dBm 
109, 2092292  ms,  34938  mm,  -100  dBm 
110, 2092463  ms,  34891  mm,  -101  dBm 
111, 2092633  ms,  34915  mm,  -100  dBm 
112, 2092804  ms,  34901  mm,  -100  dBm 
113, 2092975  ms,  34901  mm,  -100  dBm 
114, 2093146  ms,  34924  mm,  -101  dBm 
115, 2093317  ms,  34891  mm,  -100  dBm 
116, 2093487  ms,  34891  mm,  -101  dBm 
117, 2093657  ms,  34882  mm,  -101  dBm 
118, 2093829  ms,  34872  mm,  -100  dBm 
119, 2093999  ms,  34924  mm,  -102  dBm 
