count,data
1, 1601532  ms,  9833  mm,  -84  dBm 
71, 1613552  ms,  9810  mm,  -84  dBm 
72, 1613722  ms,  9838  mm,  -85  dBm 
73, 1613893  ms,  9828  mm,  -85  dBm 
74, 1614063  ms,  9800  mm,  -84  dBm 
75, 1614234  ms,  9833  mm,  -85  dBm 
76, 1614403  ms,  9833  mm,  -84  dBm 
77, 1614572  ms,  9810  mm,  -85  dBm 
78, 1614742  ms,  9828  mm,  -84  dBm 
79, 1614912  ms,  9810  mm,  -85  dBm 
80, 1615083  ms,  9791  mm,  -85  dBm 
81, 1615254  ms,  9796  mm,  -84  dBm 
82, 1615424  ms,  9857  mm,  -84  dBm 
83, 1615595  ms,  9796  mm,  -85  dBm 
84, 1615766  ms,  9842  mm,  -84  dBm 
85, 1615936  ms,  9824  mm,  -85  dBm 
86, 1616107  ms,  9796  mm,  -84  dBm 
87, 1616278  ms,  9786  mm,  -85  dBm 
88, 1616449  ms,  9777  mm,  -84  dBm 
89, 1616619  ms,  9833  mm,  -84  dBm 
90, 1616791  ms,  9791  mm,  -85  dBm 
91, 1616962  ms,  9838  mm,  -84  dBm 
92, 1617132  ms,  9833  mm,  -85  dBm 
93, 1617303  ms,  9824  mm,  -84  dBm 
94, 1617474  ms,  9810  mm,  -84  dBm 
95, 1617644  ms,  9833  mm,  -85  dBm 
96, 1617815  ms,  9814  mm,  -84  dBm 
97, 1617986  ms,  9828  mm,  -85  dBm 
98, 1618156  ms,  9828  mm,  -84  dBm 
99, 1618327  ms,  9805  mm,  -84  dBm 
100, 1618498  ms,  9805  mm,  -84  dBm 
101, 1618669  ms,  9838  mm,  -84  dBm 
102, 1618855  ms,  9819  mm,  -84  dBm 
103, 1619026  ms,  9828  mm,  -85  dBm 
104, 1619197  ms,  9819  mm,  -84  dBm 
105, 1619367  ms,  9861  mm,  -84  dBm 
106, 1619536  ms,  9847  mm,  -84  dBm 
107, 1619705  ms,  9819  mm,  -84  dBm 
108, 1619875  ms,  9857  mm,  -84  dBm 
109, 1620046  ms,  9814  mm,  -85  dBm 
110, 1620217  ms,  9852  mm,  -85  dBm 
111, 1620388  ms,  9810  mm,  -84  dBm 
112, 1620558  ms,  9814  mm,  -85  dBm 
113, 1620729  ms,  9852  mm,  -84  dBm 
114, 1620901  ms,  9819  mm,  -84  dBm 
115, 1621072  ms,  9805  mm,  -84  dBm 
116, 1621242  ms,  9819  mm,  -84  dBm 
117, 1621413  ms,  9847  mm,  -85  dBm 
118, 1621584  ms,  9824  mm,  -84  dBm 
