count,data
1, 1601532  ms,  9833  mm,  -84  dBm 
2, 1601704  ms,  9828  mm,  -84  dBm 
3, 1601874  ms,  9814  mm,  -85  dBm 
4, 1602044  ms,  9781  mm,  -84  dBm 
5, 1602215  ms,  9819  mm,  -84  dBm 
6, 1602385  ms,  9819  mm,  -84  dBm 
7, 1602556  ms,  9814  mm,  -85  dBm 
8, 1602727  ms,  9805  mm,  -84  dBm 
9, 1602897  ms,  9866  mm,  -85  dBm 
10, 1603068  ms,  9838  mm,  -84  dBm 
11, 1603239  ms,  9824  mm,  -85  dBm 
12, 1603410  ms,  9833  mm,  -85  dBm 
13, 1603580  ms,  9810  mm,  -85  dBm 
14, 1603751  ms,  9814  mm,  -85  dBm 
15, 1603922  ms,  9833  mm,  -85  dBm 
16, 1604093  ms,  9819  mm,  -84  dBm 
17, 1604262  ms,  9805  mm,  -84  dBm 
18, 1604431  ms,  9814  mm,  -84  dBm 
19, 1604600  ms,  9828  mm,  -84  dBm 
20, 1604770  ms,  9833  mm,  -85  dBm 
21, 1604941  ms,  9814  mm,  -84  dBm 
22, 1605113  ms,  9805  mm,  -85  dBm 
23, 1605284  ms,  9842  mm,  -84  dBm 
24, 1605455  ms,  9805  mm,  -84  dBm 
25, 1605626  ms,  9824  mm,  -85  dBm 
26, 1605797  ms,  9814  mm,  -85  dBm 
27, 1606029  ms,  9800  mm,  -84  dBm 
28, 1606200  ms,  9833  mm,  -84  dBm 
29, 1606371  ms,  9819  mm,  -85  dBm 
30, 1606542  ms,  9819  mm,  -85  dBm 
31, 1606712  ms,  9800  mm,  -84  dBm 
32, 1606883  ms,  9819  mm,  -84  dBm 
33, 1607053  ms,  9814  mm,  -84  dBm 
34, 1607224  ms,  9833  mm,  -84  dBm 
35, 1607395  ms,  9842  mm,  -85  dBm 
36, 1607566  ms,  9805  mm,  -84  dBm 
37, 1607566  ms,  9805  mm,  -84  dBm 
38, 1607908  ms,  9791  mm,  -85  dBm 
39, 1608079  ms,  9838  mm,  -84  dBm 
40, 1608250  ms,  9814  mm,  -84  dBm 
41, 1608420  ms,  9810  mm,  -84  dBm 
42, 1608591  ms,  9824  mm,  -84  dBm 
43, 1608762  ms,  9828  mm,  -84  dBm 
44, 1608932  ms,  9824  mm,  -85  dBm 
45, 1609103  ms,  9810  mm,  -84  dBm 
46, 1609273  ms,  9810  mm,  -84  dBm 
47, 1609442  ms,  9838  mm,  -85  dBm 
48, 1609611  ms,  9800  mm,  -84  dBm 
49, 1609781  ms,  9838  mm,  -85  dBm 
50, 1609968  ms,  9842  mm,  -84  dBm 
51, 1610138  ms,  9828  mm,  -84  dBm 
52, 1610308  ms,  9814  mm,  -85  dBm 
53, 1610479  ms,  9814  mm,  -84  dBm 
54, 1610650  ms,  9828  mm,  -85  dBm 
55, 1610821  ms,  9819  mm,  -85  dBm 
56, 1610992  ms,  9819  mm,  -84  dBm 
57, 1611162  ms,  9819  mm,  -85  dBm 
58, 1611333  ms,  9814  mm,  -84  dBm 
59, 1611503  ms,  9828  mm,  -84  dBm 
60, 1611675  ms,  9838  mm,  -85  dBm 
61, 1611847  ms,  9814  mm,  -85  dBm 
62, 1612016  ms,  9819  mm,  -84  dBm 
63, 1612187  ms,  9819  mm,  -85  dBm 
64, 1612358  ms,  9833  mm,  -85  dBm 
65, 1612529  ms,  9828  mm,  -85  dBm 
66, 1612699  ms,  9814  mm,  -84  dBm 
67, 1612869  ms,  9828  mm,  -84  dBm 
68, 1613039  ms,  9814  mm,  -85  dBm 
69, 1613210  ms,  9824  mm,  -84  dBm 
70, 1613382  ms,  9791  mm,  -84  dBm 
