count,x,y,z
12,1028,787,1000
13,1042,819,980
14,1057,782,1017
15,1034,779,981
16,1021,772,983
17,1027,790,967
18,997,770,1015
19,1021,768,1016
20,1009,782,982
21,1021,768,1016
22,1016,800,957
23,1013,848,954
24,968,776,986
25,1022,816,971
26,1044,820,1003
27,1010,808,973
28,999,818,973
29,1010,805,1003
30,1033,806,971
31,983,811,958
32,1040,824,956
33,1038,799,944
34,1038,799,944
35,1050,812,977
36,1048,792,964
37,1027,809,943
38,1015,800,948
39,1054,785,946
40,1015,800,948
41,1006,810,921
42,1028,810,917
43,1015,800,948
44,1016,794,999
45,1036,821,981
46,1029,829,999
47,1058,824,1016
48,1025,832,953
49,1042,839,967
50,1059,822,950
51,1056,804,1000
52,1047,810,984
53,1036,821,981
54,1047,810,984
55,1002,814,964
56,979,810,978
57,1053,783,976
58,1026,814,934
59,1006,781,943
60,1054,809,978
61,1055,831,944
62,1008,806,947
63,1013,804,965
64,1025,789,930
65,1026,814,934
66,1029,810,971
67,1020,820,944
68,998,820,948
69,1029,810,971
70,1045,796,971
71,993,775,1002
72,1029,810,971
73,1022,797,973
74,1007,810,975
75,1045,796,971
76,1039,803,989
77,1022,776,986
78,1046,774,986
79,1038,762,987
80,1089,757,955
81,1022,776,986
82,993,780,972
83,1004,770,972
84,1011,762,953
85,1038,762,987
86,1056,767,1004
87,1033,766,941
88,1025,813,962
89,1020,796,948
90,1018,794,977
91,984,782,947
92,1020,796,948
93,1025,813,962
94,1002,809,974
95,1031,806,944
96,1033,855,950
97,1016,751,932
98,1008,783,917
99,1025,813,962
100,1025,813,962
101,1042,819,976
102,1037,824,929
103,1024,764,926
104,1031,806,944
105,1035,783,949
106,1020,796,948
107,1015,845,947
108,1010,807,923
109,1019,820,978
110,1026,814,934
111,1047,817,994
112,1052,788,964
113,1035,776,960
114,984,782,947
115,1049,812,958
116,1025,789,930
117,1075,787,961
118,1025,789,930
119,1025,813,962
120,1018,794,977
121,1021,817,916
122,1014,799,929
123,1002,790,934
124,1053,783,976
125,1036,802,963
126,1018,794,977
127,996,793,916
128,1020,796,948
129,1002,790,934
130,1020,796,948
131,1026,814,934
132,1057,782,1017
133,1083,779,1017
134,998,768,949
135,1017,799,968
136,1027,790,967
137,1033,757,1016
138,1011,783,953
139,1057,782,1017
140,1017,799,968
141,1017,747,1034
142,1027,790,967
143,1025,813,962
144,1020,796,948
145,1035,783,949
146,1036,802,963
147,1019,792,911
148,1036,827,995
149,1005,760,977
150,1052,788,964
151,1026,814,934
152,1026,814,934
153,1029,784,977
154,1016,794,945
155,1056,825,960
156,1056,824,988
157,1045,836,960
158,1049,808,974
159,999,811,962
160,1032,801,959
161,1045,836,960
162,1056,825,960
163,1033,824,991
164,1028,805,913
165,1058,781,946
166,1026,814,934
167,1010,807,923
168,1054,809,978
169,1058,781,946
170,1032,807,916
171,1036,802,963
172,1042,800,935
173,1025,789,930
174,1049,813,931
175,1032,807,916
176,1048,788,927
177,1031,831,948
178,1036,802,963
179,1042,795,945
180,1009,831,952
181,1067,845,949
182,990,779,964
183,1020,821,952
184,999,748,978
185,1020,796,948
186,1023,791,995
187,1020,790,992
188,1026,808,976
189,1057,848,926
190,1050,832,976
191,1025,783,973
192,1049,808,974
193,1047,788,960
194,1032,826,961
195,1021,811,959
196,1032,801,959
197,1038,794,942
198,1009,798,926
199,1058,801,992
200,1004,805,944
201,1027,829,944
202,1049,808,974
203,1038,818,973
204,997,786,959
205,1038,818,973
206,1038,818,973
207,1073,832,974
208,1049,808,974
209,1042,795,945
210,1025,789,930
211,1047,790,992
212,1032,807,916
213,1043,820,949
214,1036,802,963
215,1043,820,949
216,1045,796,980
217,1005,766,965
218,1012,779,961
219,1052,788,964
220,1011,783,953
221,1011,783,953
222,1037,758,983
223,1021,772,983
224,1033,782,951
225,1009,782,982
226,1011,783,953
227,1050,767,953
228,1027,790,967
229,1009,782,982
230,1021,743,982
231,1027,790,967
232,1037,758,983
233,997,747,982
234,1039,777,999
235,1033,757,1016
236,1017,799,968
237,1046,792,1016
238,1046,792,1016
239,1027,790,967
240,1027,763,966
241,1039,803,1000
242,994,824,947
243,1025,813,970
244,1024,841,930
245,979,789,973
246,1019,821,987
247,1033,830,956
248,1003,814,973
249,1013,802,1002
250,1009,807,956
251,1003,814,973
252,979,789,973
253,1026,814,934
254,1045,770,978
255,1020,796,948
256,1052,788,964
257,1025,789,930
258,1004,810,902
259,1040,775,932
260,1033,810,912
261,1026,814,934
262,1020,796,948
263,1029,784,977
264,1030,805,976
265,1055,825,940
266,1023,787,990
267,1007,802,944
268,1054,800,1007
269,1042,815,972
270,1048,833,958
271,1024,808,958
272,1037,819,927
273,1036,795,989
274,1018,789,973
275,984,803,914
276,1010,782,980
277,1040,799,964
278,1046,789,976
279,1011,803,948
280,1018,800,965
281,1011,803,948
282,1055,786,963
283,1017,796,930
284,1040,797,993
285,1046,791,945
286,1026,814,934
287,1015,799,903
288,1020,796,948
289,1024,787,959
290,1030,810,980
291,1004,813,940
292,1051,762,961
293,1020,796,948
294,1012,779,961
295,1036,800,994
296,1035,783,949
297,1032,801,959
298,1047,788,960
299,1047,788,960
300,1025,783,973
301,1065,767,973
302,1074,806,973
303,1031,781,946
304,1044,810,955
305,1038,818,973
306,1046,741,944
307,1054,805,945
308,1001,810,927
309,1022,817,980
310,1021,791,977
311,1023,793,949
312,1011,803,948
313,1023,789,911
314,1028,809,962
315,1025,813,916
316,1011,803,948
317,1025,813,916
318,1058,805,978
319,1034,808,954
320,1015,779,999
321,1015,779,999
322,1037,730,983
323,1027,763,966
324,1037,758,983
325,1046,792,1016
326,1028,787,1000
327,1027,763,966
328,1021,772,983
329,1009,717,994
330,977,754,975
331,1001,755,943
332,989,743,975
333,1012,768,975
334,1012,748,961
335,989,750,963
336,1022,763,992
337,1001,755,943
338,989,743,975
339,1010,722,959
340,1019,760,959
341,1042,793,976
342,1030,810,980
343,1031,806,944
344,1011,758,949
345,1053,813,966
346,1052,788,964
347,1013,804,965
348,1016,751,932
349,1026,814,934
350,1008,783,917
351,1045,770,978
352,1014,798,961
353,1071,835,991
354,1014,798,961
355,970,614,1114
356,1015,819,931
357,1054,803,974
358,1031,826,945
359,1048,784,990
360,1075,808,961
361,1054,829,977
362,1026,809,932
363,1026,789,950
364,1014,778,984
365,1009,761,968
366,1033,807,934
367,996,772,967
368,1014,778,984
369,991,772,998
370,1061,779,1017
371,1032,756,999
372,1050,789,1016
373,1025,768,983
374,1041,791,941
375,1018,815,975
376,1085,818,989
377,1018,789,973
378,1055,825,940
379,1002,809,962
380,1030,801,939
381,1038,843,930
382,1057,776,942
383,1006,776,940
384,1024,808,958
385,1045,796,980
386,1069,820,981
387,1058,807,948
388,1018,776,936
389,1035,783,949
390,1040,775,932
391,1036,802,963
392,1001,764,930
393,1024,769,918
394,1058,781,946
395,1036,802,963
396,1051,773,973
397,1042,780,954
398,1001,749,940
399,1012,759,1003
400,1042,778,985
401,1019,781,957
402,971,763,946
403,1018,756,955
404,1012,764,972
405,1000,774,971
406,995,781,989
407,1025,768,983
408,1056,784,968
409,1014,778,984
410,1020,796,967
411,991,779,984
412,1002,766,1016
413,1044,773,1001
414,1003,791,953
415,1014,804,984
416,997,797,971
417,1068,771,999
418,1060,820,990
419,1036,795,989
420,1060,820,990
421,1007,802,944
422,1024,808,958
423,1054,800,1007
424,1059,797,957
425,1037,822,963
426,1025,833,962
427,1018,815,975
428,1042,815,972
429,1038,794,942
430,1032,826,961
431,1062,774,959
432,1021,788,928
433,1054,779,943
