count,data
1, 756634  ms,  4616  mm,  -95  dBm 
2, 756807  ms,  5023  mm,  -95  dBm 
3, 756992  ms,  4691  mm,  -95  dBm 
4, 757178  ms,  4681  mm,  -94  dBm 
5, 757348  ms,  4710  mm,  -95  dBm 
6, 757518  ms,  4761  mm,  -96  dBm 
7, 757689  ms,  5661  mm,  -98  dBm 
8, 757858  ms,  6794  mm,  -98  dBm 
9, 758027  ms,  5890  mm,  -95  dBm 
10, 758196  ms,  5042  mm,  -94  dBm 
11, 758366  ms,  5033  mm,  -96  dBm 
12, 758535  ms,  4672  mm,  -95  dBm 
13, 758704  ms,  4874  mm,  -94  dBm 
14, 758870  ms,  4878  mm,  -94  dBm 
15, 759041  ms,  5431  mm,  -94  dBm 
16, 759211  ms,  5253  mm,  -94  dBm 
17, 759380  ms,  5023  mm,  -95  dBm 
18, 759548  ms,  5145  mm,  -94  dBm 
19, 759718  ms,  5201  mm,  -93  dBm 
20, 759887  ms,  5291  mm,  -94  dBm 
21, 760057  ms,  5408  mm,  -94  dBm 
22, 760227  ms,  5427  mm,  -94  dBm 
23, 760398  ms,  5576  mm,  -94  dBm 
24, 760568  ms,  5656  mm,  -94  dBm 
25, 760737  ms,  5244  mm,  -95  dBm 
26, 760908  ms,  6105  mm,  -95  dBm 
27, 761078  ms,  5098  mm,  -96  dBm 
28, 761250  ms,  5155  mm,  -95  dBm 
29, 761419  ms,  5103  mm,  -96  dBm 
30, 761590  ms,  5056  mm,  -99  dBm 
31, 761761  ms,  5098  mm,  -95  dBm 
32, 761931  ms,  5155  mm,  -95  dBm 
33, 762102  ms,  5047  mm,  -96  dBm 
34, 762272  ms,  5150  mm,  -96  dBm 
35, 762442  ms,  5000  mm,  -95  dBm 
36, 762613  ms,  5047  mm,  -94  dBm 
37, 762784  ms,  4982  mm,  -94  dBm 
38, 762955  ms,  5028  mm,  -94  dBm 
39, 763126  ms,  4911  mm,  -95  dBm 
40, 763296  ms,  4766  mm,  -95  dBm 
41, 763461  ms,  5009  mm,  -95  dBm 
42, 763631  ms,  4935  mm,  -95  dBm 
43, 763805  ms,  5216  mm,  -96  dBm 
44, 763975  ms,  6105  mm,  -96  dBm 
45, 764146  ms,  7797  mm,  -96  dBm 
46, 764316  ms,  8684  mm,  -96  dBm 
47, 764486  ms,  8670  mm,  -96  dBm 
48, 764656  ms,  8721  mm,  -95  dBm 
49, 764826  ms,  4897  mm,  -98  dBm 
50, 764997  ms,  4963  mm,  -95  dBm 
51, 765168  ms,  5108  mm,  -94  dBm 
52, 765338  ms,  8670  mm,  -95  dBm 
53, 765509  ms,  6096  mm,  -94  dBm 
54, 765696  ms,  5056  mm,  -95  dBm 
55, 765867  ms,  5192  mm,  -95  dBm 
56, 766038  ms,  5459  mm,  -95  dBm 
57, 766208  ms,  6270  mm,  -95  dBm 
58, 766379  ms,  5136  mm,  -95  dBm 
59, 766549  ms,  4954  mm,  -95  dBm 
60, 766720  ms,  4827  mm,  -96  dBm 
