count,data
628, 0  ms,  0  mm,  0  dBm 
629, 81884  ms,  545  mm,  -79  dBm 
630, 0  ms,  0  mm,  0  dBm 
631, 0  ms,  0  mm,  0  dBm 
632, 0  ms,  0  mm,  0  dBm 
633, 82210  ms,  554  mm,  -79  dBm 
634, 0  ms,  0  mm,  0  dBm 
635, 0  ms,  0  mm,  0  dBm 
636, 0  ms,  0  mm,  0  dBm 
637, 0  ms,  0  mm,  0  dBm 
638, 0  ms,  0  mm,  0  dBm 
639, 0  ms,  0  mm,  0  dBm 
640, 0  ms,  0  mm,  0  dBm 
641, 0  ms,  0  mm,  0  dBm 
642, 0  ms,  0  mm,  0  dBm 
643, 0  ms,  0  mm,  0  dBm 
644, 0  ms,  0  mm,  0  dBm 
645, 0  ms,  0  mm,  0  dBm 
646, 0  ms,  0  mm,  0  dBm 
647, 0  ms,  0  mm,  0  dBm 
648, 0  ms,  0  mm,  0  dBm 
649, 0  ms,  0  mm,  0  dBm 
650, 0  ms,  0  mm,  0  dBm 
651, 0  ms,  0  mm,  0  dBm 
652, 0  ms,  0  mm,  0  dBm 
653, 0  ms,  0  mm,  0  dBm 
654, 0  ms,  0  mm,  0  dBm 
655, 0  ms,  0  mm,  0  dBm 
656, 0  ms,  0  mm,  0  dBm 
657, 0  ms,  0  mm,  0  dBm 
658, 0  ms,  0  mm,  0  dBm 
659, 83260  ms,  362  mm,  -79  dBm 
660, 83492  ms,  362  mm,  -79  dBm 
661, 0  ms,  0  mm,  0  dBm 
662, 0  ms,  0  mm,  0  dBm 
663, 0  ms,  0  mm,  0  dBm 
664, 83755  ms,  357  mm,  -78  dBm 
665, 0  ms,  0  mm,  0  dBm 
666, 0  ms,  0  mm,  0  dBm 
667, 0  ms,  0  mm,  0  dBm 
668, 84126  ms,  428  mm,  -78  dBm 
669, 0  ms,  0  mm,  0  dBm 
670, 0  ms,  0  mm,  0  dBm 
671, 0  ms,  0  mm,  0  dBm 
672, 0  ms,  0  mm,  0  dBm 
673, 0  ms,  0  mm,  0  dBm 
674, 0  ms,  0  mm,  0  dBm 
675, 0  ms,  0  mm,  0  dBm 
676, 0  ms,  0  mm,  0  dBm 
677, 0  ms,  0  mm,  0  dBm 
678, 0  ms,  0  mm,  0  dBm 
679, 0  ms,  0  mm,  0  dBm 
680, 0  ms,  0  mm,  0  dBm 
681, 0  ms,  0  mm,  0  dBm 
682, 0  ms,  0  mm,  0  dBm 
683, 0  ms,  0  mm,  0  dBm 
684, 0  ms,  0  mm,  0  dBm 
685, 0  ms,  0  mm,  0  dBm 
686, 85007  ms,  334  mm,  -78  dBm 
687, 85193  ms,  386  mm,  -78  dBm 
688, 85411  ms,  512  mm,  -79  dBm 
689, 0  ms,  0  mm,  0  dBm 
690, 85814  ms,  726  mm,  -80  dBm 
691, 0  ms,  0  mm,  0  dBm 
692, 0  ms,  0  mm,  0  dBm 
693, 0  ms,  0  mm,  0  dBm 
694, 0  ms,  0  mm,  0  dBm 
695, 0  ms,  0  mm,  0  dBm 
696, 0  ms,  0  mm,  0  dBm 
697, 0  ms,  0  mm,  0  dBm 
698, 0  ms,  0  mm,  0  dBm 
699, 0  ms,  0  mm,  0  dBm 
700, 0  ms,  0  mm,  0  dBm 
701, 0  ms,  0  mm,  0  dBm 
702, 0  ms,  0  mm,  0  dBm 
703, 0  ms,  0  mm,  0  dBm 
704, 0  ms,  0  mm,  0  dBm 
705, 0  ms,  0  mm,  0  dBm 
706, 0  ms,  0  mm,  0  dBm 
707, 0  ms,  0  mm,  0  dBm 
708, 0  ms,  0  mm,  0  dBm 
709, 0  ms,  0  mm,  0  dBm 
710, 0  ms,  0  mm,  0  dBm 
711, 0  ms,  0  mm,  0  dBm 
712, 0  ms,  0  mm,  0  dBm 
713, 86696  ms,  1002  mm,  -79  dBm 
714, 86880  ms,  606  mm,  -79  dBm 
715, 87068  ms,  1030  mm,  -80  dBm 
716, 0  ms,  0  mm,  0  dBm 
717, 0  ms,  0  mm,  0  dBm 
718, 0  ms,  0  mm,  0  dBm 
719, 0  ms,  0  mm,  0  dBm 
720, 0  ms,  0  mm,  0  dBm 
721, 0  ms,  0  mm,  0  dBm 
722, 0  ms,  0  mm,  0  dBm 
723, 0  ms,  0  mm,  0  dBm 
724, 0  ms,  0  mm,  0  dBm 
725, 87641  ms,  179  mm,  -78  dBm 
726, 0  ms,  0  mm,  0  dBm 
727, 0  ms,  0  mm,  0  dBm 
728, 0  ms,  0  mm,  0  dBm 
729, 0  ms,  0  mm,  0  dBm 
730, 0  ms,  0  mm,  0  dBm 
731, 0  ms,  0  mm,  0  dBm 
732, 0  ms,  0  mm,  0  dBm 
733, 88087  ms,  395  mm,  -79  dBm 
734, 0  ms,  0  mm,  0  dBm 
735, 88472  ms,  470  mm,  -79  dBm 
736, 0  ms,  0  mm,  0  dBm 
737, 0  ms,  0  mm,  0  dBm 
738, 0  ms,  0  mm,  0  dBm 
739, 0  ms,  0  mm,  0  dBm 
740, 0  ms,  0  mm,  0  dBm 
741, 0  ms,  0  mm,  0  dBm 
742, 0  ms,  0  mm,  0  dBm 
743, 0  ms,  0  mm,  0  dBm 
744, 88998  ms,  517  mm,  -79  dBm 
745, 0  ms,  0  mm,  0  dBm 
746, 0  ms,  0  mm,  0  dBm 
747, 0  ms,  0  mm,  0  dBm 
748, 0  ms,  0  mm,  0  dBm 
749, 0  ms,  0  mm,  0  dBm 
750, 0  ms,  0  mm,  0  dBm 
751, 0  ms,  0  mm,  0  dBm 
752, 0  ms,  0  mm,  0  dBm 
753, 0  ms,  0  mm,  0  dBm 
754, 0  ms,  0  mm,  0  dBm 
755, 0  ms,  0  mm,  0  dBm 
756, 0  ms,  0  mm,  0  dBm 
757, 0  ms,  0  mm,  0  dBm 
758, 0  ms,  0  mm,  0  dBm 
759, 0  ms,  0  mm,  0  dBm 
760, 0  ms,  0  mm,  0  dBm 
761, 0  ms,  0  mm,  0  dBm 
762, 0  ms,  0  mm,  0  dBm 
763, 0  ms,  0  mm,  0  dBm 
764, 0  ms,  0  mm,  0  dBm 
765, 89923  ms,  512  mm,  -79  dBm 
766, 90156  ms,  540  mm,  -78  dBm 
767, 90419  ms,  494  mm,  -79  dBm 
768, 90636  ms,  475  mm,  -79  dBm 
769, 90853  ms,  508  mm,  -78  dBm 
770, 91133  ms,  536  mm,  -78  dBm 
771, 91443  ms,  512  mm,  -79  dBm 
772, 91677  ms,  494  mm,  -79  dBm 
773, 92003  ms,  517  mm,  -79  dBm 
774, 92313  ms,  545  mm,  -79  dBm 
775, 92623  ms,  583  mm,  -79  dBm 
776, 92886  ms,  550  mm,  -79  dBm 
777, 0  ms,  0  mm,  0  dBm 
778, 0  ms,  0  mm,  0  dBm 
779, 93270  ms,  531  mm,  -79  dBm 
780, 0  ms,  0  mm,  0  dBm 
781, 0  ms,  0  mm,  0  dBm 
782, 0  ms,  0  mm,  0  dBm 
783, 93657  ms,  461  mm,  -79  dBm 
784, 0  ms,  0  mm,  0  dBm 
785, 0  ms,  0  mm,  0  dBm 
786, 0  ms,  0  mm,  0  dBm 
787, 0  ms,  0  mm,  0  dBm 
788, 0  ms,  0  mm,  0  dBm 
789, 0  ms,  0  mm,  0  dBm 
790, 0  ms,  0  mm,  0  dBm 
791, 0  ms,  0  mm,  0  dBm 
792, 0  ms,  0  mm,  0  dBm 
793, 0  ms,  0  mm,  0  dBm 
794, 0  ms,  0  mm,  0  dBm 
795, 0  ms,  0  mm,  0  dBm 
796, 0  ms,  0  mm,  0  dBm 
797, 0  ms,  0  mm,  0  dBm 
798, 0  ms,  0  mm,  0  dBm 
799, 0  ms,  0  mm,  0  dBm 
800, 0  ms,  0  mm,  0  dBm 
801, 0  ms,  0  mm,  0  dBm 
802, 0  ms,  0  mm,  0  dBm 
803, 0  ms,  0  mm,  0  dBm 
804, 94584  ms,  517  mm,  -79  dBm 
805, 0  ms,  0  mm,  0  dBm 
806, 0  ms,  0  mm,  0  dBm 
807, 0  ms,  0  mm,  0  dBm 
808, 0  ms,  0  mm,  0  dBm 
809, 0  ms,  0  mm,  0  dBm 
810, 0  ms,  0  mm,  0  dBm 
811, 0  ms,  0  mm,  0  dBm 
812, 0  ms,  0  mm,  0  dBm 
813, 0  ms,  0  mm,  0  dBm 
814, 0  ms,  0  mm,  0  dBm 
815, 95263  ms,  470  mm,  -79  dBm 
816, 95465  ms,  503  mm,  -79  dBm 
817, 0  ms,  0  mm,  0  dBm 
818, 0  ms,  0  mm,  0  dBm 
819, 0  ms,  0  mm,  0  dBm 
820, 0  ms,  0  mm,  0  dBm 
821, 0  ms,  0  mm,  0  dBm 
822, 0  ms,  0  mm,  0  dBm 
823, 0  ms,  0  mm,  0  dBm 
824, 0  ms,  0  mm,  0  dBm 
825, 0  ms,  0  mm,  0  dBm 
826, 0  ms,  0  mm,  0  dBm 
827, 0  ms,  0  mm,  0  dBm 
828, 0  ms,  0  mm,  0  dBm 
829, 0  ms,  0  mm,  0  dBm 
830, 0  ms,  0  mm,  0  dBm 
831, 0  ms,  0  mm,  0  dBm 
832, 0  ms,  0  mm,  0  dBm 
833, 0  ms,  0  mm,  0  dBm 
834, 0  ms,  0  mm,  0  dBm 
835, 0  ms,  0  mm,  0  dBm 
836, 0  ms,  0  mm,  0  dBm 
837, 0  ms,  0  mm,  0  dBm 
838, 96733  ms,  484  mm,  -79  dBm 
839, 0  ms,  0  mm,  0  dBm 
840, 0  ms,  0  mm,  0  dBm 
841, 0  ms,  0  mm,  0  dBm 
842, 0  ms,  0  mm,  0  dBm 
843, 0  ms,  0  mm,  0  dBm 
844, 0  ms,  0  mm,  0  dBm 
845, 0  ms,  0  mm,  0  dBm 
846, 0  ms,  0  mm,  0  dBm 
847, 0  ms,  0  mm,  0  dBm 
848, 0  ms,  0  mm,  0  dBm 
849, 0  ms,  0  mm,  0  dBm 
850, 97428  ms,  531  mm,  -79  dBm 
851, 0  ms,  0  mm,  0  dBm 
852, 0  ms,  0  mm,  0  dBm 
853, 0  ms,  0  mm,  0  dBm 
854, 0  ms,  0  mm,  0  dBm 
855, 0  ms,  0  mm,  0  dBm 
856, 98077  ms,  498  mm,  -79  dBm 
857, 0  ms,  0  mm,  0  dBm 
858, 0  ms,  0  mm,  0  dBm 
859, 0  ms,  0  mm,  0  dBm 
860, 0  ms,  0  mm,  0  dBm 
861, 0  ms,  0  mm,  0  dBm 
862, 0  ms,  0  mm,  0  dBm 
863, 0  ms,  0  mm,  0  dBm 
864, 99456  ms,  536  mm,  -79  dBm 
865, 0  ms,  0  mm,  0  dBm 
866, 0  ms,  0  mm,  0  dBm 
867, 0  ms,  0  mm,  0  dBm 
868, 99858  ms,  494  mm,  -78  dBm 
869, 0  ms,  0  mm,  0  dBm 
870, 0  ms,  0  mm,  0  dBm 
871, 0  ms,  0  mm,  0  dBm 
872, 0  ms,  0  mm,  0  dBm 
873, 0  ms,  0  mm,  0  dBm 
874, 0  ms,  0  mm,  0  dBm 
875, 0  ms,  0  mm,  0  dBm 
876, 100510  ms,  494  mm,  -79  dBm 
877, 100850  ms,  540  mm,  -79  dBm 
878, 101082  ms,  536  mm,  -78  dBm 
879, 0  ms,  0  mm,  0  dBm 
880, 0  ms,  0  mm,  0  dBm 
881, 0  ms,  0  mm,  0  dBm 
882, 0  ms,  0  mm,  0  dBm 
883, 0  ms,  0  mm,  0  dBm 
884, 0  ms,  0  mm,  0  dBm 
885, 0  ms,  0  mm,  0  dBm 
886, 101919  ms,  564  mm,  -79  dBm 
887, 102105  ms,  545  mm,  -79  dBm 
888, 0  ms,  0  mm,  0  dBm 
889, 0  ms,  0  mm,  0  dBm 
890, 0  ms,  0  mm,  0  dBm 
891, 0  ms,  0  mm,  0  dBm 
892, 0  ms,  0  mm,  0  dBm 
893, 0  ms,  0  mm,  0  dBm 
894, 0  ms,  0  mm,  0  dBm 
895, 0  ms,  0  mm,  0  dBm 
896, 0  ms,  0  mm,  0  dBm 
897, 0  ms,  0  mm,  0  dBm 
898, 0  ms,  0  mm,  0  dBm 
899, 0  ms,  0  mm,  0  dBm 
900, 0  ms,  0  mm,  0  dBm 
901, 0  ms,  0  mm,  0  dBm 
902, 0  ms,  0  mm,  0  dBm 
903, 0  ms,  0  mm,  0  dBm 
