count,data
141, 0  ms,  0  mm,  0  dBm 
142, 0  ms,  0  mm,  0  dBm 
143, 0  ms,  0  mm,  0  dBm 
144, 0  ms,  0  mm,  0  dBm 
145, 0  ms,  0  mm,  0  dBm 
146, 0  ms,  0  mm,  0  dBm 
147, 0  ms,  0  mm,  0  dBm 
148, 0  ms,  0  mm,  0  dBm 
149, 0  ms,  0  mm,  0  dBm 
150, 0  ms,  0  mm,  0  dBm 
151, 0  ms,  0  mm,  0  dBm 
152, 0  ms,  0  mm,  0  dBm 
153, 0  ms,  0  mm,  0  dBm 
154, 0  ms,  0  mm,  0  dBm 
155, 0  ms,  0  mm,  0  dBm 
156, 0  ms,  0  mm,  0  dBm 
157, 0  ms,  0  mm,  0  dBm 
158, 0  ms,  0  mm,  0  dBm 
159, 0  ms,  0  mm,  0  dBm 
160, 0  ms,  0  mm,  0  dBm 
161, 59096  ms,  104  mm,  -79  dBm 
162, 0  ms,  0  mm,  0  dBm 
163, 0  ms,  0  mm,  0  dBm 
164, 0  ms,  0  mm,  0  dBm 
165, 0  ms,  0  mm,  0  dBm 
166, 0  ms,  0  mm,  0  dBm 
167, 0  ms,  0  mm,  0  dBm 
168, 0  ms,  0  mm,  0  dBm 
169, 0  ms,  0  mm,  0  dBm 
170, 0  ms,  0  mm,  0  dBm 
171, 59762  ms,  179  mm,  -78  dBm 
172, 59947  ms,  198  mm,  -78  dBm 
173, 60243  ms,  156  mm,  -78  dBm 
174, 0  ms,  0  mm,  0  dBm 
175, 0  ms,  0  mm,  0  dBm 
176, 0  ms,  0  mm,  0  dBm 
177, 0  ms,  0  mm,  0  dBm 
178, 0  ms,  0  mm,  0  dBm 
179, 0  ms,  0  mm,  0  dBm 
180, 0  ms,  0  mm,  0  dBm 
181, 0  ms,  0  mm,  0  dBm 
182, 0  ms,  0  mm,  0  dBm 
183, 0  ms,  0  mm,  0  dBm 
184, 0  ms,  0  mm,  0  dBm 
185, 0  ms,  0  mm,  0  dBm 
186, 0  ms,  0  mm,  0  dBm 
187, 0  ms,  0  mm,  0  dBm 
188, 0  ms,  0  mm,  0  dBm 
189, 0  ms,  0  mm,  0  dBm 
190, 0  ms,  0  mm,  0  dBm 
191, 0  ms,  0  mm,  0  dBm 
192, 0  ms,  0  mm,  0  dBm 
193, 0  ms,  0  mm,  0  dBm 
194, 0  ms,  0  mm,  0  dBm 
195, 0  ms,  0  mm,  0  dBm 
196, 0  ms,  0  mm,  0  dBm 
197, 0  ms,  0  mm,  0  dBm 
198, 0  ms,  0  mm,  0  dBm 
199, 0  ms,  0  mm,  0  dBm 
200, 0  ms,  0  mm,  0  dBm 
201, 0  ms,  0  mm,  0  dBm 
202, 0  ms,  0  mm,  0  dBm 
203, 0  ms,  0  mm,  0  dBm 
204, 0  ms,  0  mm,  0  dBm 
205, 61542  ms,  207  mm,  -79  dBm 
206, 0  ms,  0  mm,  0  dBm 
207, 0  ms,  0  mm,  0  dBm 
208, 0  ms,  0  mm,  0  dBm 
209, 0  ms,  0  mm,  0  dBm 
