count,data
1, 776002  ms,  4710  mm,  -88  dBm 
2, 776174  ms,  4747  mm,  -89  dBm 
3, 776343  ms,  4667  mm,  -88  dBm 
4, 776512  ms,  4672  mm,  -87  dBm 
5, 776683  ms,  4728  mm,  -89  dBm 
6, 776854  ms,  4761  mm,  -89  dBm 
7, 777024  ms,  4794  mm,  -88  dBm 
8, 777194  ms,  4771  mm,  -88  dBm 
9, 777365  ms,  4710  mm,  -89  dBm 
10, 777535  ms,  4700  mm,  -89  dBm 
11, 777705  ms,  4747  mm,  -89  dBm 
12, 777876  ms,  4710  mm,  -89  dBm 
13, 778046  ms,  4700  mm,  -88  dBm 
14, 778217  ms,  4752  mm,  -88  dBm 
15, 778386  ms,  4728  mm,  -88  dBm 
16, 778555  ms,  4775  mm,  -88  dBm 
17, 778721  ms,  4771  mm,  -89  dBm 
18, 778894  ms,  4681  mm,  -88  dBm 
19, 779065  ms,  4700  mm,  -88  dBm 
20, 779236  ms,  4705  mm,  -87  dBm 
21, 779406  ms,  4733  mm,  -87  dBm 
22, 779591  ms,  4710  mm,  -87  dBm 
23, 779777  ms,  4696  mm,  -86  dBm 
24, 779947  ms,  4785  mm,  -87  dBm 
25, 780117  ms,  4667  mm,  -87  dBm 
26, 780288  ms,  4785  mm,  -88  dBm 
27, 780458  ms,  4681  mm,  -88  dBm 
28, 780628  ms,  4728  mm,  -87  dBm 
29, 780799  ms,  4644  mm,  -89  dBm 
30, 780970  ms,  4705  mm,  -88  dBm 
31, 781140  ms,  4827  mm,  -86  dBm 
32, 781310  ms,  4705  mm,  -88  dBm 
33, 781479  ms,  4738  mm,  -87  dBm 
34, 781649  ms,  4574  mm,  -88  dBm 
35, 781835  ms,  4700  mm,  -88  dBm 
36, 782006  ms,  4738  mm,  -88  dBm 
37, 782176  ms,  4958  mm,  -87  dBm 
38, 782347  ms,  4841  mm,  -86  dBm 
39, 782516  ms,  4705  mm,  -89  dBm 
40, 782685  ms,  4813  mm,  -86  dBm 
41, 782855  ms,  4522  mm,  -89  dBm 
42, 783026  ms,  4667  mm,  -90  dBm 
43, 783196  ms,  4817  mm,  -86  dBm 
44, 783365  ms,  4606  mm,  -89  dBm 
45, 783534  ms,  4705  mm,  -88  dBm 
46, 783704  ms,  4813  mm,  -86  dBm 
47, 783872  ms,  4855  mm,  -85  dBm 
48, 784042  ms,  4841  mm,  -86  dBm 
49, 784207  ms,  4874  mm,  -88  dBm 
50, 784382  ms,  4949  mm,  -87  dBm 
51, 784382  ms,  4949  mm,  -87  dBm 
52, 784719  ms,  4705  mm,  -89  dBm 
53, 784889  ms,  4625  mm,  -89  dBm 
54, 785059  ms,  4630  mm,  -89  dBm 
55, 785228  ms,  4639  mm,  -89  dBm 
56, 785398  ms,  4785  mm,  -89  dBm 
57, 785567  ms,  4860  mm,  -89  dBm 
58, 785735  ms,  4808  mm,  -89  dBm 
59, 785906  ms,  4780  mm,  -88  dBm 
60, 786075  ms,  4822  mm,  -89  dBm 
