count,data
1, 713130  ms,  4742  mm,  -90  dBm 
2, 713297  ms,  4780  mm,  -90  dBm 
3, 713466  ms,  4799  mm,  -89  dBm 
4, 713639  ms,  4897  mm,  -90  dBm 
5, 713826  ms,  4785  mm,  -90  dBm 
6, 713996  ms,  4733  mm,  -90  dBm 
7, 714166  ms,  4714  mm,  -90  dBm 
8, 714335  ms,  4813  mm,  -90  dBm 
9, 714504  ms,  4761  mm,  -91  dBm 
10, 714674  ms,  4780  mm,  -89  dBm 
11, 714859  ms,  4846  mm,  -90  dBm 
12, 715030  ms,  4860  mm,  -89  dBm 
13, 715217  ms,  4747  mm,  -89  dBm 
14, 715386  ms,  4771  mm,  -90  dBm 
15, 715557  ms,  4817  mm,  -89  dBm 
16, 715727  ms,  4808  mm,  -89  dBm 
17, 715898  ms,  4827  mm,  -91  dBm 
18, 716068  ms,  4813  mm,  -90  dBm 
19, 716239  ms,  4817  mm,  -91  dBm 
20, 716409  ms,  4841  mm,  -89  dBm 
21, 716580  ms,  4860  mm,  -89  dBm 
22, 716750  ms,  4799  mm,  -89  dBm 
23, 716920  ms,  4789  mm,  -90  dBm 
24, 717090  ms,  4803  mm,  -90  dBm 
25, 717261  ms,  4752  mm,  -90  dBm 
26, 717432  ms,  4841  mm,  -90  dBm 
27, 717602  ms,  4864  mm,  -90  dBm 
28, 717773  ms,  4780  mm,  -89  dBm 
29, 717944  ms,  4827  mm,  -89  dBm 
30, 718115  ms,  4827  mm,  -90  dBm 
31, 718284  ms,  4808  mm,  -90  dBm 
32, 718453  ms,  4747  mm,  -90  dBm 
33, 718623  ms,  4799  mm,  -89  dBm 
34, 718791  ms,  4780  mm,  -90  dBm 
35, 718958  ms,  4832  mm,  -89  dBm 
36, 719132  ms,  4822  mm,  -89  dBm 
37, 719302  ms,  4738  mm,  -89  dBm 
38, 719472  ms,  4785  mm,  -90  dBm 
39, 719642  ms,  4761  mm,  -89  dBm 
40, 719813  ms,  4813  mm,  -89  dBm 
41, 719984  ms,  4799  mm,  -89  dBm 
42, 720155  ms,  4827  mm,  -89  dBm 
43, 720325  ms,  4836  mm,  -90  dBm 
44, 720495  ms,  4724  mm,  -89  dBm 
45, 720666  ms,  4794  mm,  -90  dBm 
46, 720836  ms,  4794  mm,  -89  dBm 
47, 721005  ms,  4864  mm,  -89  dBm 
48, 721222  ms,  4714  mm,  -89  dBm 
49, 0  ms,  0  mm,  0  dBm 
50, 721422  ms,  4817  mm,  -89  dBm 
51, 721593  ms,  4846  mm,  -89  dBm 
52, 721779  ms,  4785  mm,  -89  dBm 
53, 721950  ms,  4860  mm,  -89  dBm 
54, 722119  ms,  4808  mm,  -89  dBm 
55, 722290  ms,  4827  mm,  -89  dBm 
56, 722460  ms,  4841  mm,  -90  dBm 
57, 722630  ms,  4785  mm,  -90  dBm 
58, 722802  ms,  4822  mm,  -90  dBm 
59, 722972  ms,  4827  mm,  -89  dBm 
60, 0  ms,  0  mm,  0  dBm 
