count,data
1, 665273  ms,  4635  mm,  -93  dBm 
2, 665444  ms,  4935  mm,  -95  dBm 
3, 665614  ms,  4696  mm,  -98  dBm 
4, 665783  ms,  4616  mm,  -95  dBm 
5, 665952  ms,  4705  mm,  -96  dBm 
6, 0  ms,  0  mm,  0  dBm 
7, 666152  ms,  4850  mm,  -95  dBm 
8, 666321  ms,  4817  mm,  -96  dBm 
9, 666491  ms,  4832  mm,  -96  dBm 
10, 666661  ms,  4883  mm,  -95  dBm 
11, 666832  ms,  4771  mm,  -95  dBm 
12, 667002  ms,  4836  mm,  -95  dBm 
13, 667172  ms,  4832  mm,  -94  dBm 
14, 667358  ms,  4935  mm,  -94  dBm 
15, 667527  ms,  4893  mm,  -94  dBm 
16, 667697  ms,  4874  mm,  -94  dBm 
17, 667868  ms,  4916  mm,  -95  dBm 
18, 668036  ms,  4766  mm,  -95  dBm 
19, 668202  ms,  4761  mm,  -93  dBm 
20, 668371  ms,  4808  mm,  -91  dBm 
21, 668545  ms,  4850  mm,  -90  dBm 
22, 668716  ms,  4799  mm,  -89  dBm 
23, 668886  ms,  4771  mm,  -89  dBm 
24, 669056  ms,  4747  mm,  -91  dBm 
25, 669227  ms,  4780  mm,  -89  dBm 
26, 669397  ms,  4794  mm,  -90  dBm 
27, 669568  ms,  4836  mm,  -89  dBm 
28, 669739  ms,  4846  mm,  -89  dBm 
29, 669909  ms,  4696  mm,  -89  dBm 
30, 670079  ms,  4714  mm,  -89  dBm 
31, 670250  ms,  4714  mm,  -89  dBm 
32, 670420  ms,  4817  mm,  -88  dBm 
33, 670589  ms,  4789  mm,  -90  dBm 
34, 670759  ms,  4780  mm,  -89  dBm 
35, 670930  ms,  4728  mm,  -91  dBm 
36, 671101  ms,  4606  mm,  -92  dBm 
37, 671272  ms,  4658  mm,  -92  dBm 
38, 671442  ms,  4663  mm,  -92  dBm 
39, 671612  ms,  4606  mm,  -92  dBm 
40, 671782  ms,  4592  mm,  -93  dBm 
41, 671953  ms,  4667  mm,  -93  dBm 
42, 672123  ms,  4635  mm,  -92  dBm 
43, 672293  ms,  4602  mm,  -92  dBm 
44, 672463  ms,  4710  mm,  -93  dBm 
45, 672634  ms,  4719  mm,  -91  dBm 
46, 672805  ms,  4714  mm,  -91  dBm 
47, 672975  ms,  4663  mm,  -90  dBm 
48, 673144  ms,  4710  mm,  -92  dBm 
49, 673313  ms,  4719  mm,  -92  dBm 
50, 673482  ms,  4738  mm,  -92  dBm 
51, 673651  ms,  4893  mm,  -89  dBm 
52, 673821  ms,  4738  mm,  -90  dBm 
53, 673990  ms,  4733  mm,  -89  dBm 
54, 674159  ms,  4883  mm,  -89  dBm 
55, 674329  ms,  4733  mm,  -89  dBm 
56, 674514  ms,  4771  mm,  -89  dBm 
57, 674685  ms,  4747  mm,  -90  dBm 
58, 674855  ms,  4827  mm,  -90  dBm 
59, 675025  ms,  4733  mm,  -89  dBm 
60, 675196  ms,  4780  mm,  -89  dBm 
61, 675381  ms,  4794  mm,  -88  dBm 
