count,data
1, 1824958  ms,  19836  mm,  -93  dBm 
54, 1833969  ms,  19873  mm,  -93  dBm 
55, 1834140  ms,  19864  mm,  -91  dBm 
56, 1834312  ms,  19831  mm,  -92  dBm 
57, 1834481  ms,  19873  mm,  -92  dBm 
58, 1834650  ms,  19840  mm,  -94  dBm 
59, 1834819  ms,  19812  mm,  -93  dBm 
60, 1834988  ms,  19836  mm,  -93  dBm 
61, 1835159  ms,  19831  mm,  -92  dBm 
62, 1835330  ms,  19855  mm,  -94  dBm 
63, 1835500  ms,  19864  mm,  -93  dBm 
64, 1835671  ms,  19845  mm,  -94  dBm 
65, 1835842  ms,  19845  mm,  -93  dBm 
66, 1836012  ms,  19845  mm,  -92  dBm 
67, 1836182  ms,  19822  mm,  -91  dBm 
68, 1836353  ms,  19855  mm,  -92  dBm 
69, 1836524  ms,  19845  mm,  -94  dBm 
70, 1836695  ms,  19845  mm,  -92  dBm 
71, 1836866  ms,  19836  mm,  -93  dBm 
72, 1837036  ms,  19850  mm,  -93  dBm 
73, 1837207  ms,  19873  mm,  -93  dBm 
74, 1837377  ms,  19855  mm,  -93  dBm 
75, 1837547  ms,  19850  mm,  -93  dBm 
76, 1837718  ms,  19836  mm,  -93  dBm 
77, 1837889  ms,  19850  mm,  -93  dBm 
78, 1838060  ms,  19850  mm,  -92  dBm 
79, 1838230  ms,  19831  mm,  -93  dBm 
80, 1838401  ms,  19869  mm,  -93  dBm 
81, 1838571  ms,  19826  mm,  -91  dBm 
82, 1838742  ms,  19831  mm,  -93  dBm 
83, 1838913  ms,  19836  mm,  -93  dBm 
84, 1839083  ms,  19864  mm,  -92  dBm 
85, 1839254  ms,  19845  mm,  -92  dBm 
86, 1839425  ms,  19850  mm,  -91  dBm 
87, 1839594  ms,  19873  mm,  -93  dBm 
88, 1839763  ms,  19855  mm,  -93  dBm 
89, 1839932  ms,  19845  mm,  -93  dBm 
90, 1840102  ms,  19845  mm,  -93  dBm 
91, 1840273  ms,  19906  mm,  -92  dBm 
92, 1840444  ms,  19840  mm,  -93  dBm 
93, 1840616  ms,  19873  mm,  -93  dBm 
94, 1840787  ms,  19831  mm,  -94  dBm 
95, 1840957  ms,  19840  mm,  -93  dBm 
96, 1841127  ms,  19831  mm,  -92  dBm 
97, 1841298  ms,  19873  mm,  -94  dBm 
98, 1841469  ms,  19869  mm,  -92  dBm 
99, 1841640  ms,  19803  mm,  -93  dBm 
100, 1841811  ms,  19883  mm,  -94  dBm 
101, 1841981  ms,  19840  mm,  -91  dBm 
102, 1842152  ms,  19836  mm,  -93  dBm 
103, 1842323  ms,  19859  mm,  -93  dBm 
104, 1842510  ms,  19859  mm,  -93  dBm 
105, 1842680  ms,  19869  mm,  -93  dBm 
106, 1842851  ms,  19859  mm,  -93  dBm 
107, 1843022  ms,  19840  mm,  -94  dBm 
108, 1843208  ms,  19883  mm,  -93  dBm 
109, 1843378  ms,  19845  mm,  -94  dBm 
110, 1843549  ms,  19845  mm,  -91  dBm 
111, 1843720  ms,  19845  mm,  -93  dBm 
112, 1843890  ms,  19864  mm,  -91  dBm 
113, 1844061  ms,  19836  mm,  -93  dBm 
114, 1844232  ms,  19836  mm,  -93  dBm 
115, 1844404  ms,  19840  mm,  -93  dBm 
116, 1844573  ms,  19897  mm,  -93  dBm 
117, 1844758  ms,  19836  mm,  -93  dBm 
118, 1844927  ms,  19831  mm,  -92  dBm 
119, 1845097  ms,  19831  mm,  -94  dBm 
