count,data
1, 1824958  ms,  19836  mm,  -93  dBm 
2, 1825128  ms,  19840  mm,  -93  dBm 
3, 1825299  ms,  19845  mm,  -93  dBm 
4, 1825469  ms,  19812  mm,  -91  dBm 
5, 1825637  ms,  19840  mm,  -93  dBm 
6, 1825822  ms,  19831  mm,  -91  dBm 
7, 1825991  ms,  19869  mm,  -93  dBm 
8, 1826161  ms,  19864  mm,  -93  dBm 
9, 1826330  ms,  19878  mm,  -92  dBm 
10, 1826499  ms,  19822  mm,  -93  dBm 
11, 1826667  ms,  19831  mm,  -93  dBm 
12, 1826836  ms,  19864  mm,  -92  dBm 
13, 1827006  ms,  19869  mm,  -92  dBm 
14, 1827174  ms,  19883  mm,  -93  dBm 
15, 1827344  ms,  19831  mm,  -91  dBm 
16, 1827513  ms,  19883  mm,  -93  dBm 
17, 1827682  ms,  19840  mm,  -92  dBm 
18, 1827851  ms,  19845  mm,  -94  dBm 
19, 1828020  ms,  19873  mm,  -93  dBm 
20, 1828189  ms,  19873  mm,  -94  dBm 
21, 1828358  ms,  19869  mm,  -92  dBm 
22, 1828526  ms,  19822  mm,  -93  dBm 
23, 1828695  ms,  19817  mm,  -92  dBm 
24, 1828865  ms,  19850  mm,  -92  dBm 
25, 1829034  ms,  19831  mm,  -92  dBm 
26, 1829203  ms,  19855  mm,  -93  dBm 
27, 1829372  ms,  19817  mm,  -93  dBm 
28, 1829540  ms,  19845  mm,  -91  dBm 
29, 1829709  ms,  19845  mm,  -92  dBm 
30, 1829878  ms,  19873  mm,  -91  dBm 
31, 1830048  ms,  19840  mm,  -92  dBm 
32, 1830219  ms,  19845  mm,  -93  dBm 
33, 1830388  ms,  19855  mm,  -93  dBm 
34, 1830558  ms,  19850  mm,  -94  dBm 
35, 1830729  ms,  19845  mm,  -93  dBm 
36, 1830900  ms,  19873  mm,  -92  dBm 
37, 1831070  ms,  19845  mm,  -92  dBm 
38, 1831241  ms,  19869  mm,  -94  dBm 
39, 1831412  ms,  19878  mm,  -92  dBm 
40, 1831583  ms,  19845  mm,  -92  dBm 
41, 1831753  ms,  19850  mm,  -91  dBm 
42, 1831922  ms,  19855  mm,  -92  dBm 
43, 1832093  ms,  19859  mm,  -92  dBm 
44, 1832265  ms,  19836  mm,  -93  dBm 
45, 1832435  ms,  19869  mm,  -91  dBm 
46, 1832605  ms,  19840  mm,  -92  dBm 
47, 1832776  ms,  19836  mm,  -92  dBm 
48, 1832946  ms,  19850  mm,  -93  dBm 
49, 1833117  ms,  19864  mm,  -92  dBm 
50, 1833287  ms,  19850  mm,  -92  dBm 
51, 1833458  ms,  19859  mm,  -93  dBm 
52, 1833628  ms,  19836  mm,  -92  dBm 
53, 1833799  ms,  19845  mm,  -94  dBm 
