count,x,y,z
1,1637,1386,990
2,0,0,0
3,0,0,0
4,1474,2105,1874
5,1452,2110,1880
6,1475,2120,1870
7,1585,2019,1781
8,1550,2024,1815
9,1450,2126,1878
10,1439,2121,1883
11,1454,2122,1875
12,1522,2051,1828
13,1503,2067,1848
14,1557,1991,1769
15,1512,2059,1836
16,1473,2091,1873
17,1529,2085,1831
18,1551,2066,1825
19,1439,2121,1883
20,1447,2113,1883
21,1818,1748,639
22,1715,1854,1216
23,1747,1835,1262
24,1790,1812,891
25,1782,1817,1047
26,1709,1895,1224
27,1840,1645,696
28,1748,1740,1339
29,1765,1840,770
30,1739,1850,1135
31,1797,1796,819
32,1763,1858,1208
33,1782,1783,907
34,1744,1841,1097
35,1703,1870,1199
36,1759,1859,995
37,1717,1848,1169
38,1708,1882,1253
39,1768,1796,921
40,1766,1755,896
41,1749,1882,1284
42,1800,1721,658
43,1743,1834,1274
44,1722,1824,1248
45,1744,1821,1162
46,1771,1773,861
47,1742,1863,1244
48,1732,1808,1329
49,1720,1794,1338
50,1775,1810,876
51,1732,1850,1189
52,1712,1842,1109
53,1750,1855,817
54,1742,1863,1244
55,1737,1862,1284
56,1778,1744,752
57,1787,1815,875
58,1747,1887,1225
59,1768,1876,1245
60,1740,1898,1041
61,1760,1831,1162
62,1790,1732,679
63,1756,1823,1264
64,1781,1790,787
65,1760,1792,1071
66,1792,1768,911
67,1817,1718,860
68,1692,1888,1260
69,1698,1880,1166
70,1754,1865,1243
