count,data
1, 1121131  ms,  4710  mm,  -80  dBm 
2, 1121303  ms,  4738  mm,  -80  dBm 
3, 1121474  ms,  4710  mm,  -80  dBm 
4, 1121644  ms,  4696  mm,  -80  dBm 
5, 1121816  ms,  4714  mm,  -80  dBm 
6, 1121987  ms,  4733  mm,  -80  dBm 
7, 1122158  ms,  4757  mm,  -80  dBm 
8, 1122328  ms,  4728  mm,  -80  dBm 
9, 1122499  ms,  4719  mm,  -81  dBm 
10, 1122670  ms,  4719  mm,  -80  dBm 
11, 1122840  ms,  4719  mm,  -80  dBm 
12, 1123011  ms,  4724  mm,  -80  dBm 
13, 1123181  ms,  4724  mm,  -80  dBm 
14, 1123352  ms,  4719  mm,  -80  dBm 
15, 1123523  ms,  4719  mm,  -80  dBm 
16, 1123694  ms,  4714  mm,  -81  dBm 
17, 1123864  ms,  4719  mm,  -80  dBm 
18, 1124033  ms,  4738  mm,  -80  dBm 
19, 1124203  ms,  4747  mm,  -80  dBm 
20, 1124374  ms,  4738  mm,  -80  dBm 
21, 1124545  ms,  4700  mm,  -81  dBm 
22, 1124716  ms,  4724  mm,  -80  dBm 
23, 1124887  ms,  4728  mm,  -80  dBm 
24, 1125058  ms,  4738  mm,  -80  dBm 
25, 1125229  ms,  4714  mm,  -80  dBm 
26, 1125400  ms,  4733  mm,  -80  dBm 
27, 1125570  ms,  4738  mm,  -80  dBm 
28, 1125742  ms,  4714  mm,  -80  dBm 
29, 1125913  ms,  4742  mm,  -80  dBm 
30, 1126084  ms,  4705  mm,  -80  dBm 
31, 1126255  ms,  4733  mm,  -80  dBm 
32, 1126426  ms,  4742  mm,  -80  dBm 
33, 1126596  ms,  4719  mm,  -80  dBm 
34, 1126767  ms,  4696  mm,  -80  dBm 
35, 1126938  ms,  4724  mm,  -80  dBm 
36, 1127109  ms,  4742  mm,  -81  dBm 
37, 1127280  ms,  4733  mm,  -80  dBm 
38, 1127450  ms,  4747  mm,  -80  dBm 
39, 1127621  ms,  4742  mm,  -80  dBm 
40, 1127792  ms,  4733  mm,  -80  dBm 
41, 1127963  ms,  4714  mm,  -80  dBm 
42, 1128134  ms,  4719  mm,  -80  dBm 
43, 1128305  ms,  4700  mm,  -80  dBm 
44, 1128475  ms,  4733  mm,  -80  dBm 
45, 1128646  ms,  4710  mm,  -80  dBm 
46, 1128816  ms,  4728  mm,  -80  dBm 
47, 1129000  ms,  4714  mm,  -80  dBm 
48, 1129171  ms,  4738  mm,  -80  dBm 
49, 1129341  ms,  4724  mm,  -80  dBm 
50, 1129511  ms,  4742  mm,  -80  dBm 
51, 1129682  ms,  4742  mm,  -80  dBm 
52, 1129853  ms,  4738  mm,  -80  dBm 
53, 1130025  ms,  4719  mm,  -80  dBm 
54, 1130194  ms,  4738  mm,  -80  dBm 
55, 1130365  ms,  4719  mm,  -80  dBm 
56, 1130535  ms,  4742  mm,  -80  dBm 
57, 1130707  ms,  4710  mm,  -80  dBm 
58, 1130877  ms,  4757  mm,  -80  dBm 
59, 1131048  ms,  4747  mm,  -80  dBm 
60, 1131219  ms,  4747  mm,  -80  dBm 
61, 1131405  ms,  4733  mm,  -80  dBm 
62, 1131575  ms,  4719  mm,  -80  dBm 
63, 1131747  ms,  4719  mm,  -80  dBm 
64, 1131918  ms,  4714  mm,  -80  dBm 
