count,x,y,z
1,3637,1629,918
2,3654,1589,953
3,3639,1659,939
4,3616,1633,966
5,3630,1645,977
6,3610,1673,997
7,3637,1638,957
8,3638,1632,949
9,3702,1548,838
10,3618,1653,947
11,3651,1669,912
12,4087,1725,946
13,5231,2794,1428
14,5283,2740,1406
15,5268,2786,1411
16,5226,2797,1450
17,5273,2756,1377
18,5289,2797,1377
19,5283,2761,1406
20,5250,2791,1440
21,5246,2776,1366
22,5235,2808,1400
23,5264,2788,1450
24,5294,2783,1410
25,5280,2802,1472
26,5257,2835,1581
27,5304,2768,1447
28,5280,2802,1472
29,5325,2803,1587
30,5310,2764,1347
31,5294,2783,1410
32,5320,2749,1383
33,5323,2784,1412
34,5310,2764,1347
35,5252,2798,1610
36,5260,2773,1376
37,5280,2770,1388
38,5232,2797,1394
39,5292,2768,1451
40,5270,2797,1459
41,5249,2810,1454
42,5265,2799,1426
43,5263,2814,1353
44,5282,2772,1373
45,5282,2772,1373
46,5315,2817,1393
47,5275,2797,1462
48,5297,2816,1396
49,5285,2841,1371
50,5272,2850,1421
51,5299,2803,1365
52,5290,2845,1435
53,5283,2842,1424
54,5289,2858,1460
55,5276,2812,1367
56,5308,2878,1360
57,5300,2853,1357
58,5324,2893,1388
59,5328,2843,1477
60,5287,2876,1396
61,5300,2852,1402
62,5324,2866,1411
63,5324,2866,1411
64,5295,2851,1424
65,5272,2844,1439
66,5301,2846,1436
67,5271,2865,1515
68,5269,2863,1455
69,5290,2831,1354
70,5301,2846,1436
71,5268,2875,1391
72,5301,2846,1436
73,5264,2853,1461
74,5269,2863,1455
75,5261,2881,1479
76,5273,2856,1430
77,5308,2827,1426
78,5297,2860,1398
79,5324,2828,1418
80,5302,2837,1465
81,5312,2841,1449
82,5306,2853,1448
83,5287,2856,1435
84,5299,2843,1390
85,5291,2870,1457
86,5323,2856,1444
87,5300,2809,1489
88,5269,2785,1482
89,5283,2795,1465
90,5303,2850,1453
91,5318,2823,1437
92,5305,2819,1481
93,5297,2852,1446
94,5325,2822,1447
95,5335,2801,1376
96,5309,2826,1436
97,5289,2859,1430
98,5297,2850,1430
99,5276,2851,1471
100,5284,2854,1364
101,5283,2896,1433
102,5298,2858,1444
103,5258,2879,1433
104,5266,2868,1449
105,5255,2849,1441
106,5303,2804,1451
107,5301,2832,1425
108,5307,2856,1464
109,5284,2854,1364
110,5281,2832,1456
111,5246,2865,1404
112,5283,2851,1446
113,5271,2817,1465
114,5289,2859,1430
115,5259,2885,1469
116,5283,2860,1385
117,5298,2858,1444
118,5301,2832,1425
119,5344,2861,1402
120,5335,2846,1409
121,5299,2889,1373
122,5276,2851,1471
123,5319,2885,1459
124,5272,2869,1403
125,5315,2844,1448
126,5285,2861,1525
127,5301,2846,1385
128,5294,2837,1401
129,5272,2841,1478
130,5264,2833,1477
131,5262,2858,1457
132,5284,2854,1364
133,5269,2849,1434
134,5317,2792,1420
135,5269,2869,1506
136,5272,2841,1478
137,5293,2820,1428
138,5260,2834,1440
139,5301,2846,1385
140,5318,2795,1362
141,5273,2874,1495
142,5300,2884,1448
143,5303,2858,1427
144,5292,2835,1406
145,5309,2867,1468
146,5272,2879,1444
147,5272,2879,1444
148,5285,2839,1455
149,5272,2902,1435
150,5333,2840,1464
151,5317,2881,1460
152,5266,2868,1449
153,5273,2867,1409
154,5301,2846,1385
155,5299,2844,1465
156,5298,2863,1395
157,5283,2860,1385
158,5303,2861,1424
159,5418,2739,1064
160,5310,2830,1420
161,5278,2860,1429
162,5310,2870,1467
163,5270,2852,1438
164,5253,2885,1454
165,5277,2866,1407
166,5263,2814,1456
167,5281,2808,1464
168,5261,2832,1462
169,5274,2810,1386
170,5289,2822,1406
171,5254,2853,1481
172,5249,2871,1420
173,5265,2826,1363
174,5291,2805,1401
175,5288,2852,1384
176,5253,2827,1437
177,5266,2840,1458
178,5252,2882,1457
179,5275,2863,1409
180,5236,2810,1405
181,5283,2809,1416
182,5266,2837,1374
183,5241,2793,1395
184,5244,2792,1425
185,5277,2747,1378
186,5299,2801,1389
187,5251,2851,1414
188,5279,2790,1341
189,5454,2658,965
190,5305,2756,1317
191,5287,2812,1506
192,5226,2860,1574
193,5292,2782,1468
194,5269,2778,1365
195,5285,2816,1497
196,5222,2836,1575
197,5290,2828,1418
198,5243,2829,1487
199,5252,2841,1462
200,5278,2809,1355
201,5273,2811,1453
202,5288,2793,1392
203,5263,2827,1415
204,5285,2832,1438
205,5310,2824,1433
206,5291,2817,1431
207,5295,2809,1360
208,5246,2809,1424
209,5295,2809,1360
210,5419,2954,1813
211,5270,2813,1527
212,5307,2828,1423
213,5293,2846,1484
214,5298,2816,1446
215,5398,2960,1831
216,5275,2817,1415
217,5307,2828,1423
218,5316,2796,1441
219,5261,2766,1497
220,5292,2730,1375
221,5279,2791,1417
222,5320,2730,1376
223,5341,2789,1355
224,5320,2718,1336
225,5270,2771,1488
226,5289,2767,1500
227,5321,2746,1403
228,5327,2758,1459
229,5293,2846,1484
230,5262,2803,1402
231,5270,2798,1416
232,5278,2809,1462
233,5261,2779,1479
234,5247,2819,1468
235,5263,2785,1356
236,5246,2769,1393
237,5273,2767,1446
238,5273,2767,1446
239,5306,2766,1392
240,5253,2794,1499
241,5277,2789,1397
242,5272,2820,1434
243,5310,2781,1452
244,5273,2791,1578
245,5261,2809,1639
246,5328,2801,1486
247,5296,2786,1409
248,5328,2801,1486
249,5287,2802,1373
250,5287,2812,1561
251,5278,2827,1367
252,5278,2798,1428
253,5296,2734,1356
254,5273,2784,1352
255,5301,2806,1449
256,5284,2796,1330
257,5300,2857,1407
258,5301,2837,1419
259,5271,2838,1340
260,5297,2820,1366
261,5278,2827,1367
262,5293,2806,1365
263,5282,2832,1515
264,5268,2810,1534
265,5287,2836,1403
266,5258,2828,1413
267,5273,2846,1562
268,5268,2812,1450
269,5299,2855,1466
270,5257,2826,1496
271,5281,2857,1536
272,5264,2840,1569
273,5290,2828,1418
274,5222,2797,1382
275,5245,2803,1399
276,5245,2803,1399
277,5360,2676,1063
278,5393,2614,1009
279,5243,2768,1374
280,5245,2803,1399
281,5248,2826,1348
282,5238,2814,1371
283,5288,2732,1216
284,5286,2766,1356
285,5268,2797,1378
286,5301,2812,1456
287,5278,2781,1416
288,5230,2848,1548
289,5230,2848,1548
290,5294,2762,1353
291,5338,2743,1291
292,5306,2809,1355
293,5263,2825,1500
294,5272,2804,1469
295,5258,2832,1588
296,5276,2823,1534
297,5280,2799,1481
298,5276,2823,1534
299,5270,2815,1443
300,5275,2852,1652
301,5258,2796,1379
302,5320,2793,1386
303,5301,2808,1390
304,5282,2862,1447
305,5285,2797,1382
306,5274,2850,1471
307,5323,2809,1360
308,5323,2809,1360
309,5307,2821,1437
310,5323,2809,1360
311,5313,2825,1323
312,5351,2810,1363
313,5280,2827,1420
314,5303,2763,1398
315,5269,2791,1436
316,5266,2773,1432
317,5246,2762,1416
318,5316,2723,1368
319,5293,2754,1378
320,5567,2517,713
321,5343,2693,1281
322,5495,2584,787
323,5251,2816,1448
324,5229,2785,1409
325,5380,2687,1091
326,5280,2792,1431
327,5206,2793,1434
328,5261,2749,1370
329,5263,2827,1395
330,5324,2788,1329
331,5285,2828,1525
332,5256,2869,1507
333,5560,2563,729
334,5298,2816,1406
335,5263,2847,1371
336,5273,2869,1509
337,5256,2869,1507
338,5274,2850,1471
339,5296,2825,1317
340,5327,2817,1450
341,5291,2766,1343
342,5287,2749,1368
343,5303,2813,1346
344,5266,2773,1432
345,5289,2804,1471
346,5291,2766,1343
347,5270,2815,1443
348,5227,2785,1474
349,5291,2843,1490
350,5320,2806,1365
351,5226,2767,1374
352,5299,2738,1310
353,5385,2672,1030
354,5260,2800,1409
355,5248,2813,1454
356,5260,2827,1348
357,5248,2795,1396
358,5260,2800,1409
359,5250,2815,1372
360,5274,2783,1344
361,5258,2801,1405
362,5257,2800,1487
363,5268,2786,1441
364,5283,2768,1380
365,5279,2781,1439
366,5268,2784,1524
367,5245,2780,1424
368,5266,2811,1462
369,5435,2615,1015
370,5411,2611,1047
371,5425,2596,1004
372,5245,2780,1424
373,5259,2781,1420
374,5259,2781,1420
375,5235,2769,1448
376,5248,2788,1512
377,5268,2765,1445
378,5258,2801,1405
379,5257,2800,1487
380,5274,2783,1344
381,5259,2774,1465
382,5223,2789,1612
383,5244,2782,1524
384,5257,2731,1354
385,5283,2769,1482
386,5244,2782,1524
387,5241,2749,1414
388,5259,2737,1441
389,5232,2764,1378
390,5244,2782,1524
391,5202,2754,1474
392,5285,2731,1353
393,5257,2800,1487
394,5245,2780,1424
395,5248,2788,1512
396,5258,2801,1405
397,5257,2800,1487
398,5266,2811,1462
399,5213,2841,1598
400,5268,2786,1441
401,5259,2781,1420
402,5293,2752,1417
403,5247,2791,1609
404,5246,2797,1449
405,5276,2759,1398
406,5258,2742,1433
407,5273,2738,1478
408,5276,2759,1398
409,5267,2746,1423
410,5239,2746,1421
411,5267,2746,1423
412,5286,2743,1435
413,5257,2762,1386
414,5250,2788,1625
415,5245,2792,1454
416,5268,2825,1386
417,5275,2782,1348
