count,x,y,z
1,2898,2982,359
2,2907,2960,351
3,2915,2981,359
4,2875,2980,376
5,2883,2963,373
6,2918,2969,363
7,2898,2957,372
8,2910,2979,330
9,2898,2982,359
10,2920,2940,386
11,2898,2982,359
12,3525,-306,1762
13,3513,-377,1735
14,3484,-385,1687
15,3497,-328,1797
16,3481,-366,1780
17,3464,-360,1815
18,3531,-293,1796
19,3510,-334,1845
20,3480,-368,1822
21,3324,-275,-1037
22,3499,-330,1835
23,3487,-445,1702
24,3499,-355,1763
25,3470,-411,1667
26,3499,-355,1763
27,3487,-386,1723
28,3466,-392,1730
29,3520,-407,1735
30,3464,-374,1771
31,3458,-429,1766
32,3556,-276,1753
33,3573,-257,1666
34,3559,-286,1668
35,3506,-320,1687
36,3487,-319,1754
37,3505,-315,1725
38,3517,-292,1757
39,3372,1319,-134
40,3496,-316,1716
41,3578,-209,1692
42,3505,-315,1725
43,3541,-228,1636
44,3507,-336,1711
45,3475,-423,1722
46,3486,-442,1606
47,3518,-380,1626
48,3464,-447,1653
49,3506,-436,1595
50,3513,-371,1666
51,3480,-440,1662
52,3415,1239,-96
53,3504,-448,1610
54,3513,-371,1666
55,3514,-283,1691
56,3518,-219,1844
57,3562,-205,1773
58,3582,-300,1657
59,3527,-287,1746
60,3527,-287,1746
61,3541,-258,1774
62,3563,-252,1740
63,3560,-219,1755
64,3563,-252,1740
65,3552,-232,1718
66,3505,-315,1725
67,3517,-292,1757
68,3505,-315,1725
69,3575,-261,1612
70,3561,-226,1729
71,3564,-269,1695
72,3500,-294,1750
73,3478,-263,1822
74,3509,-256,1730
75,3505,-315,1725
76,3506,-320,1687
77,3495,-438,1743
78,3535,-382,1687
79,3520,-396,1684
80,3492,-387,1731
81,3520,-396,1684
82,3531,-362,1668
83,3502,-422,1656
84,3550,-356,1713
85,3522,-375,1630
86,3522,-375,1630
87,3566,-348,1606
88,3528,-261,1696
89,3528,-261,1696
90,3558,-278,1611
91,3535,-253,1669
92,3558,-263,1618
93,3551,-275,1687
94,3516,-237,1760
95,3495,-283,1821
96,3515,-273,1749
97,3496,-353,1742
98,3561,-226,1729
99,3518,-408,1736
100,3551,-303,1718
101,3527,-292,1805
102,3484,-351,1739
103,3484,-387,1724
104,3547,-328,1687
105,3511,-325,1737
106,3497,-386,1748
107,3511,-343,1680
108,3506,-379,1715
109,3446,-437,1783
110,3492,-331,1729
111,3451,-448,1723
112,3542,-297,1633
113,3493,-351,1688
114,3487,-386,1723
115,3466,-392,1730
116,3576,-216,1779
117,3485,-348,1742
118,3492,-331,1729
119,3494,-365,1762
120,3534,-336,1666
121,3489,-341,1791
122,3498,-389,1808
123,3536,-376,1714
124,3522,-385,1707
125,3560,-354,1711
126,3558,-386,1701
127,3511,-426,1736
128,3522,-385,1707
129,3559,-385,1664
130,3546,-270,1697
131,3509,-341,1739
132,3544,-263,1694
133,3540,-272,1659
134,3610,-221,1630
135,3610,-221,1630
136,3528,-307,1723
137,3610,-221,1630
138,3543,-335,1643
139,3570,-276,1653
140,3543,-335,1643
141,3548,-325,1678
142,3555,-294,1679
143,3590,-323,1615
144,3529,-381,1706
145,3506,-350,1701
146,3535,-381,1674
147,3483,-365,1736
148,3537,-314,1733
149,3529,-381,1706
150,3554,-364,1707
151,3511,-338,1734
152,3559,-358,1678
153,3589,-330,1643
154,3551,-351,1709
155,3559,-326,1690
156,3551,-351,1709
157,3578,-310,1687
158,3547,-379,1649
159,3547,-346,1654
160,3509,-341,1739
161,3547,-346,1654
162,3562,-289,1729
163,3600,-274,1710
164,3564,-312,1717
165,3520,-347,1720
166,3527,-287,1746
167,3586,-192,1750
168,3529,-234,1713
169,3560,-219,1755
170,3545,-233,1710
171,3518,-263,1813
172,3514,-273,1779
173,3560,-219,1755
174,3500,-281,1773
175,3564,-312,1717
176,3540,-305,1770
177,3564,-312,1717
178,3560,-354,1711
179,3488,-375,1742
180,3564,-312,1717
181,3558,-386,1701
182,3497,-449,1669
183,3516,-357,1753
184,3560,-354,1711
185,3559,-326,1690
186,3513,-340,1658
187,3548,-259,1730
188,3548,-259,1730
189,3548,-325,1678
190,3551,-317,1712
191,3548,-259,1730
192,3492,-283,1742
193,3544,-263,1694
194,3551,-317,1712
195,3535,-286,1749
196,3570,-276,1653
197,3554,-427,1545
198,3517,-379,1658
199,3542,-330,1791
200,3560,-354,1711
201,3562,-289,1729
202,3536,-376,1714
203,3532,-387,1676
204,3543,-308,1729
205,3528,-416,1667
206,3459,-439,1782
207,3517,-379,1658
208,3484,-369,1666
209,3518,-390,1676
210,3551,-351,1709
211,3519,-410,1768
212,3517,-379,1658
213,3522,-385,1707
214,3529,-328,1698
215,3564,-312,1717
216,3542,-389,1614
217,3565,-407,1688
218,3489,-378,1783
219,3546,-353,1712
220,3538,-305,1756
221,3572,-274,1751
222,3311,1368,-312
223,3504,-381,1746
224,3569,-323,1670
225,3556,-273,1769
226,3486,-413,1766
227,3538,-305,1756
228,3526,-307,1780
229,3533,-317,1691
230,3554,-335,1639
231,3490,-384,1788
232,3490,-384,1788
233,3490,-384,1788
234,3537,-351,1683
235,3537,-351,1683
236,3517,-394,1744
237,3573,-376,1650
238,3547,-391,1650
239,3500,-316,1749
240,3525,-215,1698
241,3548,-277,1683
242,3466,-345,1806
243,3546,-312,1670
244,3552,-232,1718
245,3527,-287,1746
246,3547,-285,1604
247,3542,-252,1687
