count,x,y,z
1,4895,427,1248
19,3956,-498,1377
20,3956,-498,1377
21,3977,-474,1443
22,3970,-473,1476
23,3944,-454,1406
24,3949,-456,1435
25,4010,-472,1434
26,3986,-486,1473
27,4006,-466,1480
28,3978,-466,1371
29,3978,-446,1402
30,4026,-502,1398
31,4013,-527,1439
32,4026,-502,1398
33,4028,-504,1263
34,3981,-572,1226
35,4010,-505,1288
36,3952,-445,1231
37,3983,-484,1270
38,3944,-472,1279
39,3999,-461,1360
40,3904,-468,1433
41,3969,-454,1377
42,3920,-480,1615
43,3949,-536,1509
44,3920,-487,1827
45,3985,-486,1398
46,3991,-506,1509
47,4000,-459,1306
48,3977,-431,1552
49,3985,-445,1418
50,4000,-521,1306
51,4026,-454,1341
52,3996,-424,1296
53,3962,-584,982
54,3912,-547,1075
55,3926,-602,1187
56,3925,-580,1219
57,3887,-490,1260
58,3916,-516,1111
59,3946,-558,1163
60,3880,-584,1322
61,3923,-443,1677
62,3883,-729,1369
63,3651,-754,853
64,3742,-626,1410
65,3963,-247,1284
66,4088,-282,1627
67,4084,-282,1373
68,3935,-357,1256
69,3877,-263,1102
70,3847,-180,1074
71,4017,-150,1357
72,3922,-73,1035
73,3933,23,1233
74,4023,-101,1222
75,3961,81,1280
76,3992,-25,1194
77,3964,72,1223
78,4010,134,1267
79,3968,173,1300
80,3937,157,1300
81,3947,203,1360
82,3946,225,1374
83,3975,268,1375
84,3933,253,1390
85,3902,292,1394
86,3870,301,1368
87,3872,365,1311
88,3842,362,1273
89,3836,389,1257
90,3840,388,1324
91,3782,433,1208
92,3808,462,1263
93,3769,549,1306
94,3790,567,1299
95,3770,630,1299
96,3729,636,1330
97,3689,591,1357
98,3664,652,1270
99,3693,683,1280
100,3662,729,1339
101,3645,709,1296
102,3594,774,1289
103,3606,794,1229
104,3609,819,1197
105,3585,839,1265
106,3556,868,1212
107,3499,900,1255
108,3479,922,1182
109,3448,983,1226
110,3413,1030,1179
111,3409,1066,1160
112,3371,1140,1202
113,3358,1200,1178
114,3352,1209,1187
115,3348,1303,1121
116,3352,1347,1152
117,3311,1402,1166
118,3297,1436,1166
119,3265,1494,1251
120,3290,1577,1187
121,3244,1622,1180
122,3202,1714,1181
123,3176,1739,1146
124,3202,1816,1314
125,3160,1858,1198
126,3150,1919,1222
127,3114,1979,1241
128,3085,2078,1183
129,3038,2125,1226
130,2999,2189,1220
131,2962,2251,1230
132,2967,2322,1261
133,2963,2400,1262
134,2869,2462,1218
135,2911,2545,1247
136,2920,2611,1236
137,2908,2671,1264
138,2900,2704,1290
139,2887,2764,1300
140,2878,2798,1328
141,2811,2883,1333
142,2818,2954,1306
143,2785,2979,1337
144,2736,3007,1355
145,2688,3048,1379
146,2679,3152,1349
147,2643,3208,1428
148,2636,3291,1396
149,2572,3309,1391
150,2543,3357,1383
151,2536,3407,1432
152,2462,3500,1480
153,2457,3514,1523
154,2423,3535,1486
155,2389,3668,1531
156,2353,3681,1552
157,2291,3747,1546
158,2316,3769,1581
159,2241,3816,1569
160,2228,3901,1535
161,2196,3917,1585
162,2200,3980,1606
163,2247,4025,1572
164,2172,4079,1576
165,2164,4161,1589
166,2173,4167,1579
167,2196,4237,1618
168,2153,4316,1656
169,2135,4314,1651
170,2134,4376,1662
171,2103,4468,1653
172,2123,4513,1670
173,2082,4525,1736
174,1916,4316,2217
175,2047,4624,1705
176,2042,4644,1764
177,2071,4697,1770
178,2017,4774,1745
179,2022,4792,1774
180,1987,4878,1797
181,1973,4926,1789
182,1985,4925,1836
183,1945,4987,1820
184,1946,5047,1894
185,1952,5109,1919
186,1941,5091,1994
187,1914,5119,2022
188,1859,5184,1976
189,1841,5235,1945
190,1855,5208,2009
191,1773,5303,1950
192,1729,5353,1791
193,1722,5411,1884
194,1745,5473,1835
195,1761,5497,1859
196,1775,5449,2034
197,1705,5530,1857
198,1854,5489,2030
199,1674,5582,1744
200,1683,5672,1865
201,1706,5766,1900
202,1725,5781,1856
203,1688,5850,1840
204,1705,5895,1891
205,1689,5945,1814
206,1716,5962,1826
207,1703,6057,1810
208,1647,6113,1696
209,1699,6084,1820
210,1784,6126,2168
211,1638,6157,1912
212,1772,6143,2187
213,1730,6144,2145
214,1809,6125,2507
215,1385,6163,1474
216,1813,6215,2373
217,1630,6313,2048
218,1820,6202,2602
219,1771,6338,2272
220,1700,6464,2032
221,1815,6378,2342
222,1750,6517,2139
223,1655,6554,1919
224,1547,6580,1542
225,1701,6588,1994
226,1695,6642,1865
227,1747,6603,2185
228,1682,6747,1860
229,1528,6734,1621
230,1695,6663,2080
231,1691,6721,1978
232,1741,6726,2033
233,1687,6755,2024
234,1634,6778,1790
235,1628,6814,1832
236,1681,6806,1909
237,1690,6765,2058
238,1693,6857,1856
239,1582,6867,1614
240,1799,6807,2123
241,1690,6885,1979
242,1577,6898,1732
243,1799,6789,2334
244,1626,6939,1896
245,1532,6940,1689
246,1533,6948,1614
