count,data
114, 378093  ms,  46504  mm,  -99  dBm 
115, 0  ms,  0  mm,  0  dBm 
116, 379020  ms,  46683  mm,  -96  dBm 
117, 379471  ms,  46589  mm,  -95  dBm 
118, 379954  ms,  46683  mm,  -95  dBm 
119, 380405  ms,  46641  mm,  -95  dBm 
120, 380808  ms,  46786  mm,  -95  dBm 
121, 0  ms,  0  mm,  0  dBm 
122, 0  ms,  0  mm,  0  dBm 
123, 0  ms,  0  mm,  0  dBm 
124, 0  ms,  0  mm,  0  dBm 
125, 381492  ms,  46875  mm,  -91  dBm 
126, 381943  ms,  46983  mm,  -92  dBm 
127, 382395  ms,  46997  mm,  -93  dBm 
128, 0  ms,  0  mm,  0  dBm 
129, 382970  ms,  47185  mm,  -91  dBm 
130, 383451  ms,  47339  mm,  -91  dBm 
131, 383929  ms,  47541  mm,  -93  dBm 
132, 0  ms,  0  mm,  0  dBm 
133, 384550  ms,  47865  mm,  -92  dBm 
134, 385002  ms,  48245  mm,  -93  dBm 
135, 385485  ms,  48639  mm,  -96  dBm 
136, 385936  ms,  49084  mm,  -95  dBm 
137, 386388  ms,  49483  mm,  -95  dBm 
138, 386840  ms,  49886  mm,  -100  dBm 
139, 386840  ms,  49886  mm,  -100  dBm 
140, 386840  ms,  49886  mm,  -100  dBm 
141, 386840  ms,  49886  mm,  -100  dBm 
142, 386840  ms,  49886  mm,  -100  dBm 
143, 0  ms,  0  mm,  0  dBm 
144, 386840  ms,  49886  mm,  -100  dBm 
145, 0  ms,  0  mm,  0  dBm 
146, 386840  ms,  49886  mm,  -100  dBm 
147, 386840  ms,  49886  mm,  -100  dBm 
148, 386840  ms,  49886  mm,  -100  dBm 
149, 390806  ms,  53606  mm,  -99  dBm 
150, 391271  ms,  54014  mm,  -97  dBm 
151, 391754  ms,  54417  mm,  -95  dBm 
152, 392206  ms,  54792  mm,  -97  dBm 
153, 392657  ms,  55116  mm,  -97  dBm 
154, 0  ms,  0  mm,  0  dBm 
155, 393141  ms,  55280  mm,  -97  dBm 
156, 393587  ms,  55346  mm,  -98  dBm 
157, 394099  ms,  55383  mm,  -98  dBm 
158, 394553  ms,  55444  mm,  -96  dBm 
159, 395020  ms,  55393  mm,  -98  dBm 
160, 0  ms,  0  mm,  0  dBm 
161, 395501  ms,  55416  mm,  -97  dBm 
162, 395952  ms,  55332  mm,  -98  dBm 
163, 0  ms,  0  mm,  0  dBm 
164, 396433  ms,  55186  mm,  -97  dBm 
165, 396883  ms,  54881  mm,  -97  dBm 
166, 397350  ms,  54361  mm,  -95  dBm 
167, 397833  ms,  53854  mm,  -94  dBm 
168, 398285  ms,  53001  mm,  -93  dBm 
