count,data
131, 308071  ms,  2317  mm,  -79  dBm 
132, 308320  ms,  2317  mm,  -80  dBm 
133, 308519  ms,  2275  mm,  -79  dBm 
134, 0  ms,  0  mm,  0  dBm 
135, 308799  ms,  2359  mm,  -80  dBm 
136, 309032  ms,  2280  mm,  -79  dBm 
137, 309312  ms,  2298  mm,  -79  dBm 
138, 0  ms,  0  mm,  0  dBm 
139, 309608  ms,  2317  mm,  -79  dBm 
140, 309808  ms,  2308  mm,  -79  dBm 
141, 310026  ms,  2303  mm,  -79  dBm 
142, 0  ms,  0  mm,  0  dBm 
143, 310353  ms,  2308  mm,  -79  dBm 
144, 0  ms,  0  mm,  0  dBm 
145, 0  ms,  0  mm,  0  dBm 
146, 0  ms,  0  mm,  0  dBm 
147, 310912  ms,  2322  mm,  -79  dBm 
148, 311144  ms,  2350  mm,  -79  dBm 
149, 0  ms,  0  mm,  0  dBm 
150, 311610  ms,  2322  mm,  -79  dBm 
151, 311844  ms,  2341  mm,  -79  dBm 
152, 312045  ms,  2312  mm,  -79  dBm 
153, 0  ms,  0  mm,  0  dBm 
154, 312310  ms,  2284  mm,  -78  dBm 
155, 312543  ms,  2284  mm,  -79  dBm 
156, 0  ms,  0  mm,  0  dBm 
157, 313055  ms,  2327  mm,  -79  dBm 
158, 313349  ms,  2336  mm,  -79  dBm 
159, 313626  ms,  2336  mm,  -80  dBm 
160, 313937  ms,  2289  mm,  -79  dBm 
161, 314281  ms,  2303  mm,  -78  dBm 
162, 0  ms,  0  mm,  0  dBm 
163, 0  ms,  0  mm,  0  dBm 
164, 314778  ms,  2298  mm,  -79  dBm 
165, 315042  ms,  2345  mm,  -79  dBm 
166, 315244  ms,  2303  mm,  -79  dBm 
167, 315508  ms,  2359  mm,  -78  dBm 
168, 315741  ms,  2331  mm,  -79  dBm 
169, 315942  ms,  2303  mm,  -79  dBm 
170, 316176  ms,  2327  mm,  -79  dBm 
171, 0  ms,  0  mm,  0  dBm 
172, 0  ms,  0  mm,  0  dBm 
173, 316440  ms,  2355  mm,  -79  dBm 
174, 316704  ms,  2294  mm,  -79  dBm 
175, 316937  ms,  2336  mm,  -79  dBm 
176, 317138  ms,  2350  mm,  -80  dBm 
177, 317403  ms,  2350  mm,  -79  dBm 
178, 317605  ms,  2312  mm,  -79  dBm 
179, 317839  ms,  2284  mm,  -79  dBm 
180, 318039  ms,  2327  mm,  -79  dBm 
181, 0  ms,  0  mm,  0  dBm 
182, 0  ms,  0  mm,  0  dBm 
183, 318334  ms,  2294  mm,  -79  dBm 
184, 318611  ms,  2303  mm,  -79  dBm 
185, 318844  ms,  2308  mm,  -79  dBm 
186, 319046  ms,  2341  mm,  -80  dBm 
187, 0  ms,  0  mm,  0  dBm 
188, 0  ms,  0  mm,  0  dBm 
189, 319403  ms,  2322  mm,  -79  dBm 
190, 0  ms,  0  mm,  0  dBm 
191, 0  ms,  0  mm,  0  dBm 
192, 319995  ms,  2350  mm,  -80  dBm 
193, 0  ms,  0  mm,  0  dBm 
194, 0  ms,  0  mm,  0  dBm 
195, 320569  ms,  2331  mm,  -79  dBm 
196, 0  ms,  0  mm,  0  dBm 
197, 320848  ms,  2275  mm,  -79  dBm 
198, 321095  ms,  2336  mm,  -79  dBm 
199, 321328  ms,  2284  mm,  -79  dBm 
200, 321560  ms,  2331  mm,  -80  dBm 
201, 321840  ms,  2308  mm,  -79  dBm 
202, 0  ms,  0  mm,  0  dBm 
203, 0  ms,  0  mm,  0  dBm 
204, 322135  ms,  2298  mm,  -78  dBm 
205, 322398  ms,  2355  mm,  -79  dBm 
206, 322600  ms,  2289  mm,  -79  dBm 
207, 0  ms,  0  mm,  0  dBm 
208, 0  ms,  0  mm,  0  dBm 
209, 323127  ms,  2364  mm,  -79  dBm 
210, 323359  ms,  2350  mm,  -79  dBm 
211, 323559  ms,  2331  mm,  -79  dBm 
212, 323760  ms,  2256  mm,  -79  dBm 
213, 324008  ms,  2327  mm,  -79  dBm 
214, 324241  ms,  2284  mm,  -80  dBm 
