count,x,y,z
20,4780,377,1318
21,4762,412,1318
22,4817,377,1327
23,4758,407,1354
24,4724,394,1309
25,4780,377,1318
26,4789,407,1300
27,4758,407,1354
28,4754,379,1362
29,4772,419,1339
30,4757,433,1341
31,4797,431,1385
32,4730,420,1294
33,4785,375,1392
34,4819,449,1356
35,4796,405,1399
36,4765,392,1356
37,4731,423,1329
38,4784,393,1466
39,4752,412,1419
40,4806,390,1461
41,4836,403,1433
42,4764,394,1382
43,4777,414,1405
44,4825,391,1474
45,4795,398,1333
46,4752,412,1419
47,4739,386,1371
48,4773,422,1365
49,4840,428,1382
50,4785,372,1382
51,4798,423,1450
52,4749,420,1383
53,4731,359,1386
54,4744,381,1409
55,4780,405,1388
56,4745,377,1431
57,4744,381,1409
58,4764,394,1382
59,4788,448,1412
60,4798,433,1412
61,4750,390,1399
62,4739,386,1371
63,4810,457,1419
64,4787,372,1441
65,4789,426,1393
66,4789,426,1393
67,4806,381,1428
68,4785,372,1382
69,4764,394,1382
70,4787,372,1441
71,4797,405,1390
72,4798,423,1450
73,4784,393,1466
74,4817,417,1411
75,4772,419,1331
76,4817,405,1378
77,4780,394,1449
78,4755,409,1381
79,4739,383,1336
80,4806,390,1461
81,4798,433,1412
82,4797,405,1390
83,4756,432,1331
84,4793,412,1371
85,4822,395,1359
86,4765,390,1310
87,4800,401,1354
88,4806,391,1390
89,4773,422,1365
90,4739,383,1336
91,4773,422,1365
92,4765,364,1339
93,4768,405,1308
94,4770,362,1322
95,4757,393,1269
96,4753,420,1395
97,4743,384,1338
98,4776,423,1367
99,4774,417,1295
100,4760,409,1382
101,4728,395,1302
102,4743,384,1338
103,4727,399,1375
104,4702,392,1362
105,4751,413,1319
106,4734,430,1393
107,4723,373,1364
108,4788,372,1385
109,4784,381,1346
110,4766,407,1304
111,4761,435,1343
112,4726,400,1383
113,4766,407,1304
114,4759,372,1307
115,4753,356,1409
116,4756,410,1369
117,4769,392,1320
118,4796,414,1378
119,4743,382,1311
120,4764,367,1346
121,4768,394,1356
122,4762,433,1307
123,4751,344,1324
124,4725,403,1242
125,4717,443,1262
126,4727,398,1348
127,4734,424,1332
128,4760,445,1287
129,4743,434,1388
130,4777,436,1319
131,4791,460,1330
132,4774,424,1304
133,4800,442,1293
134,4760,419,1314
135,4803,450,1401
136,4819,433,1326
137,4800,442,1293
138,4777,436,1319
139,4264,432,70
140,4745,473,1324
141,4801,444,1330
142,4801,444,1330
143,4760,450,1357
144,4760,419,1314
145,4807,468,1275
146,4701,395,1407
147,4809,391,1364
148,4796,414,1378
149,4784,381,1355
150,4759,372,1307
151,4750,411,1293
152,4730,407,1336
153,4742,385,1345
154,4717,379,1333
155,4726,405,1278
156,4743,382,1311
157,4768,394,1356
158,4743,388,1382
159,4775,421,1341
160,4743,382,1311
161,4805,428,1276
162,4750,411,1293
163,4762,412,1318
164,4756,435,1378
165,4772,419,1339
166,4780,377,1318
167,4731,423,1329
168,4764,395,1391
169,4758,407,1354
170,4766,364,1331
171,4724,394,1309
172,4785,375,1392
173,4781,448,1320
174,4739,384,1344
175,4780,402,1359
176,4779,375,1281
177,4766,364,1331
178,4772,419,1339
179,4780,397,1322
180,4780,390,1454
181,4817,400,1386
182,4837,434,1480
183,4825,965,32
184,4749,375,1350
185,4760,388,1444
186,4837,403,1431
187,4833,411,1412
188,4791,428,1365
189,4817,405,1423
190,4817,405,1423
191,4788,403,1379
192,4823,367,1435
193,4776,404,1378
194,4791,428,1365
195,4776,404,1378
196,4829,401,1422
197,4750,411,1293
198,4764,367,1346
199,4742,385,1345
200,4796,379,1373
201,4764,367,1346
202,4775,421,1341
203,4743,382,1311
204,4742,385,1345
205,4734,377,1408
206,4776,424,1376
207,4715,386,1388
208,4722,419,1346
209,4775,421,1341
210,4745,408,1356
211,4768,394,1356
212,4766,407,1304
213,4738,347,1397
214,4768,394,1356
215,4740,448,1383
216,4759,427,1374
217,4782,441,1355
218,4746,465,1314
219,4740,448,1383
220,4761,434,1361
221,4739,444,1347
222,4780,437,1321
223,4770,476,1305
224,4775,420,1272
225,4810,470,1276
226,4757,431,1307
227,4769,473,1269
228,4757,431,1307
229,4744,459,1274
230,4731,410,1291
231,4803,422,1320
232,4714,435,1297
233,4835,437,1354
234,4731,359,1394
235,4817,408,1386
236,4780,411,1435
237,4780,411,1435
238,4777,417,1413
239,4754,369,1513
240,4778,422,1507
241,4741,362,1462
242,4752,434,1501
243,4731,405,1459
244,4798,425,1458
245,4766,384,1430
246,4731,426,1366
247,4787,448,1421
248,4773,442,1477
249,4764,395,1391
250,4805,375,1402
251,4791,414,1366
252,4805,390,1363
253,4798,402,1362
254,4747,410,1291
255,4805,390,1363
256,4739,387,1380
257,4752,411,1366
258,4758,407,1354
259,4780,406,1398
260,4780,402,1359
261,4723,396,1345
262,4774,344,1405
263,4780,411,1435
264,4780,380,1353
265,4817,377,1327
266,4762,412,1318
267,4748,413,1326
268,4785,375,1392
269,4747,381,1411
270,4761,377,1379
271,4753,420,1395
272,4743,387,1372
273,4747,381,1411
274,4768,396,1384
275,4748,377,1434
276,4717,384,1393
277,4757,413,1419
278,4768,399,1491
279,4732,442,1468
280,4755,429,1465
281,4733,417,1676
282,4721,433,1685
283,4728,394,1284
284,4808,425,1211
285,4743,380,1285
286,4718,375,1288
287,4759,422,1321
288,4784,443,1418
289,4784,443,1418
290,4784,443,1418
291,4784,428,1370
292,4787,464,1412
293,4819,434,1334
294,4775,469,1389
295,4820,443,1384
296,4799,428,1330
297,4788,418,1276
298,4795,456,1264
299,4792,458,1303
300,4785,463,1271
301,4807,479,1182
302,4800,440,1266
303,4774,429,1240
304,4790,412,1259
305,4758,386,1291
306,4781,406,1260
307,4799,383,1300
308,4833,422,1336
309,4787,438,1298
310,4829,432,1307
311,4796,392,1259
312,4855,439,1297
313,4757,389,1343
314,4791,424,1301
315,4829,406,1549
316,4819,402,1556
317,4851,447,1459
318,4840,443,1546
319,4796,415,1470
320,4785,405,1425
321,4801,381,1425
322,4788,403,1389
323,4784,428,1370
324,4787,464,1412
325,4775,469,1389
326,4777,437,1327
327,4818,476,1379
328,4791,471,1348
329,4791,460,1340
330,4784,428,1370
331,4760,448,1331
332,4823,432,1373
333,4784,428,1370
334,4812,476,1354
335,4774,425,1313
336,4777,437,1327
337,4801,413,1296
338,4776,431,1352
339,4754,436,1344
340,4796,405,1399
341,4739,387,1380
342,4754,410,1391
343,4798,402,1362
344,4817,408,1386
345,4714,361,1400
346,4796,405,1399
347,4752,411,1366
348,4793,408,1435
349,4785,375,1392
350,4745,378,1440
351,4756,437,1412
352,4764,395,1391
353,4785,375,1392
354,4723,399,1382
355,4798,402,1362
356,4822,395,1372
357,4798,402,1362
358,4799,388,1387
359,4792,431,1410
360,4785,441,1337
361,4781,444,1373
362,4757,389,1343
363,4833,396,1359
364,4785,441,1337
365,4788,403,1389
366,4766,417,1327
367,4776,384,1416
368,4766,417,1327
369,4740,369,1356
370,4811,433,1343
371,4799,386,1353
372,4779,446,1410
373,4796,410,1434
374,4791,401,1353
375,4761,402,1318
376,4739,381,1310
377,4798,402,1362
378,4806,388,1328
379,4828,405,1298
380,4764,390,1318
381,4765,389,1281
382,4798,428,1313
383,4764,390,1318
384,4812,421,1374
385,4798,402,1362
386,4723,405,1276
387,4739,407,1349
388,4766,364,1331
389,4726,407,1326
390,4756,435,1378
391,4739,384,1344
392,4780,402,1359
393,4772,419,1331
394,4791,444,1375
395,4756,432,1331
396,4749,420,1383
397,4797,405,1390
398,4739,410,1379
399,4810,414,1399
400,4744,381,1409
401,4794,407,1427
402,4756,377,1367
403,4723,401,1408
404,4778,428,1457
405,4766,382,1421
406,4777,414,1405
407,4806,381,1428
408,4789,426,1393
409,4764,394,1382
410,4750,390,1399
411,4752,355,1409
412,4785,375,1392
413,4780,406,1398
414,4785,375,1392
415,4773,423,1375
416,4787,448,1421
417,4813,416,1347
418,4785,375,1392
419,4765,392,1356
420,4785,375,1392
421,4746,374,1402
422,4752,355,1409
423,4764,395,1391
424,4757,431,1305
425,4772,419,1339
426,4822,395,1372
427,4748,413,1326
428,4790,374,1381
429,4797,382,1429
430,4790,374,1381
431,4802,415,1399
432,4813,372,1393
433,4822,420,1395
434,4802,415,1399
435,4807,423,1374
436,4822,407,1363
437,4774,384,1346
438,4812,400,1395
439,4775,407,1353
440,4820,412,1336
441,4822,407,1363
442,4757,382,1362
443,4775,407,1353
444,4800,405,1341
445,4757,382,1362
446,4773,422,1365
447,4731,426,1356
448,4798,433,1412
449,4777,414,1405
450,4723,401,1408
451,4764,394,1382
452,4797,405,1390
453,4817,405,1378
454,4797,431,1375
455,4752,412,1419
456,4723,398,1373
457,4793,412,1371
458,4800,401,1354
459,4777,414,1405
460,4769,414,1391
461,4791,444,1375
462,4798,433,1412
463,4739,386,1371
464,4710,348,1412
465,4785,372,1382
466,4822,395,1359
467,4785,372,1382
468,4780,410,1425
469,4767,376,1404
470,4755,409,1381
471,4759,406,1345
472,4798,429,1341
473,4731,426,1356
474,4731,426,1356
475,4723,398,1373
476,4787,367,1403
477,4739,386,1371
478,4736,867,102
479,4791,444,1375
480,4744,381,1409
481,4773,422,1365
482,4777,414,1405
483,4766,420,1362
484,4817,401,1395
485,4812,438,1382
486,4813,420,1420
487,4779,446,1410
488,4788,403,1389
489,4782,368,1400
490,4776,384,1416
491,4851,447,1459
492,4792,431,1410
493,4796,415,1470
494,4768,428,1432
495,4801,381,1425
496,4793,423,1448
497,4734,415,1415
498,4810,451,1453
499,4793,394,1398
500,4778,374,1394
501,4823,409,1373
502,4776,408,1364
503,4752,380,1316
504,4801,393,1305
505,4781,364,1343
506,4786,389,1421
507,4799,407,1337
508,4781,364,1343
509,4778,374,1394
510,4799,407,1337
511,4787,410,1376
512,4805,364,1318
513,4767,360,1309
514,4799,407,1337
515,4801,393,1305
516,4761,371,1334
517,4771,416,1294
518,4833,396,1359
519,4766,417,1327
520,4781,444,1373
521,4757,392,1379
522,4781,444,1373
523,4775,401,1349
524,4802,366,1370
525,4754,440,1312
526,4802,370,1407
527,4807,414,1335
528,4757,389,1343
529,4725,421,1319
530,4757,392,1379
531,4745,407,1380
532,4757,392,1379
533,4757,392,1379
534,4770,444,1370
535,4785,405,1425
536,4753,407,1358
537,4793,412,1371
538,4731,426,1356
539,4773,422,1365
540,4753,407,1358
541,4756,434,1368
542,4756,377,1367
543,4772,419,1331
544,4768,408,1352
545,4780,380,1345
546,4765,392,1346
547,4723,398,1373
548,4747,862,161
549,4773,422,1365
550,4724,395,1336
551,4756,377,1367
552,4748,412,1318
553,4807,468,1248
554,4794,456,1255
555,4780,419,1275
556,4801,435,1314
557,4820,461,1302
558,4795,435,1263
559,4820,461,1302
560,4799,464,1290
561,4794,421,1331
562,4801,435,1314
563,4822,445,1345
564,4792,392,1305
565,4817,415,1358
566,4799,464,1290
567,4801,435,1314
568,4789,404,1276
569,4805,422,1301
570,4784,432,1354
571,4795,432,1321
572,4778,439,1345
573,4789,461,1357
574,4761,452,1385
575,4715,439,1372
576,4816,466,1378
577,4801,436,1378
578,4788,475,1339
579,4788,475,1339
580,4784,466,1355
581,4778,439,1345
582,4752,444,1363
583,4715,439,1372
584,4770,481,1364
585,4715,410,1368
586,4783,434,1384
587,4761,452,1385
